,a,0.00,0.05,0.10,0.30,0.60
0,1.2427,1.0,1.0,1.0,1.0,1.0
1,1.2481,1.0,1.0,1.0,1.0,1.0
2,1.2535,1.0,1.0,1.0,1.0,1.0
3,1.2588,1.0,1.0,1.0,1.0,1.0
4,1.2642,1.0,1.0,1.0,1.0,1.0
5,1.2696,1.0,1.0,1.0,1.0,1.0
6,1.275,1.0,1.0,1.0,1.0,1.0
7,1.2804,1.0,1.0,1.0,1.0,1.0
8,1.2857,1.0,1.0,1.0,1.0,1.0
9,1.2911,1.0,1.0,1.0,1.0,1.0
10,1.2965,1.0,1.0,1.0,1.0,1.0
11,1.3019,1.0,1.0,1.0,1.0,1.0
12,1.3073,1.0,1.0,1.0,1.0,1.0
13,1.3126,1.0,1.0,1.0,1.0,1.0
14,1.318,1.0,1.0,1.0,1.0,1.0
15,1.3234,1.0,1.0,1.0,1.0,1.0
16,1.3288,1.0,1.0,1.0,1.0,1.0
17,1.3342,1.0,1.0,1.0,1.0,1.0
18,1.3396,1.0,1.0,1.0,1.0,1.0
19,1.3449,1.0,1.0,1.0,1.0,1.0
20,1.3503,1.0,1.0,1.0,1.0,1.0
21,1.3557,1.0,1.0,1.0,1.0,1.0
22,1.3611,1.0,1.0,1.0,1.0,1.0
23,1.3665,1.0,1.0,1.0,1.0,1.0
24,1.3718,1.0,1.0,1.0,1.0,1.0
25,1.3772,1.0,1.0,1.0,1.0,1.0
26,1.3826,1.0,1.0,1.0,1.0,1.0
27,1.388,1.0,1.0,1.0,1.0,1.0
28,1.3934,1.0,1.0,1.0,1.0,1.0
29,1.3987,1.0,1.0,1.0,1.0,1.0
30,1.4041,1.0,1.0,1.0,1.0,1.0
31,1.4095,1.0,1.0,1.0,1.0,1.0
32,1.4149,1.0,1.0,1.0,1.0,1.0
33,1.4203,1.0,1.0,1.0,1.0,1.0
34,1.4257,1.0,1.0,1.0,1.0,1.0
35,1.431,1.0,1.0,1.0,1.0,1.0
36,1.4364,1.0,1.0,1.0,1.0,1.0
37,1.4418,1.0,1.0,1.0,1.0,1.0
38,1.4472,1.0,1.0,1.0,1.0,1.0
39,1.4526,1.0,1.0,1.0,1.0,1.0
40,1.4579,1.0,1.0,1.0,1.0,1.0
41,1.4633,1.0,1.0,1.0,1.0,1.0
42,1.4687,1.0,1.0,1.0,1.0,1.0
43,1.4741,1.0,1.0,1.0,1.0,1.0
44,1.4795,1.0,1.0,1.0,1.0,1.0
45,1.4849,1.0,1.0,1.0,1.0,1.0
46,1.4902,1.0,1.0,1.0,1.0,1.0
47,1.4956,1.0,1.0,1.0,1.0,1.0
48,1.501,1.0,1.0,1.0,1.0,1.0
49,1.5064,1.0,1.0,1.0,1.0,1.0
50,1.5118,1.0,1.0,1.0,1.0,1.0
51,1.5171,1.0,1.0,1.0,1.0,1.0
52,1.5225,1.0,1.0,1.0,1.0,1.0
53,1.5279,1.0,1.0,1.0,1.0,1.0
54,1.5333,1.0,1.0,1.0,1.0,1.0
55,1.5387,1.0,1.0,1.0,1.0,1.0
56,1.544,1.0,1.0,1.0,1.0,1.0
57,1.5494,1.0,1.0,1.0,1.0,1.0
58,1.5548,1.0,1.0,1.0,1.0,1.0
59,1.5602,1.0,1.0,1.0,1.0,1.0
60,1.5656,1.0,1.0,1.0,1.0,1.0
61,1.571,1.0,1.0,1.0,1.0,1.0
62,1.5763,1.0,1.0,1.0,1.0,1.0
63,1.5817,1.0,1.0,1.0,1.0,1.0
64,1.5871,1.0,1.0,1.0,1.0,1.0
65,1.5925,1.0,1.0,1.0,1.0,1.0
66,1.5979,1.0,1.0,1.0,1.0,1.0
67,1.6032,1.0,1.0,1.0,1.0,1.0
68,1.6086,1.0,1.0,1.0,1.0,1.0
69,1.614,1.0,1.0,1.0,1.0,1.0
70,1.6194,1.0,1.0,1.0,1.0,1.0
71,1.6248,1.0,1.0,1.0,1.0,1.0
72,1.6302,1.0,1.0,1.0,1.0,1.0
73,1.6355,1.0,1.0,1.0,1.0,1.0
74,1.6409,1.0,1.0,1.0,1.0,1.0
75,1.6463,1.0,1.0,1.0,1.0,1.0
76,1.6517,1.0,1.0,1.0,1.0,1.0
77,1.6571,1.0,1.0,1.0,1.0,1.0
78,1.6624,1.0,1.0,1.0,1.0,1.0
79,1.6678,1.0,1.0,1.0,1.0,1.0
80,1.6732,1.0,1.0,1.0,1.0,1.0
81,1.6786,1.0,1.0,1.0,1.0,1.0
82,1.684,1.0,1.0,1.0,1.0,1.0
83,1.6893,1.0,1.0,1.0,1.0,1.0
84,1.6947,1.0,1.0,1.0,1.0,1.0
85,1.7001,1.0,1.0,1.0,1.0,1.0
86,1.7055,1.0,1.0,1.0,1.0,1.0
87,1.7109,1.0,1.0,1.0,1.0,1.0
88,1.7163,1.0,1.0,1.0,1.0,1.0
89,1.7216,1.0,1.0,1.0,1.0,1.0
90,1.727,1.0,1.0,1.0,1.0,1.0
91,1.7324,1.0,1.0,1.0,1.0,1.0
92,1.7378,1.0,1.0,1.0,1.0,1.0
93,1.7432,1.0,1.0,1.0,1.0,1.0
94,1.7485,1.0,1.0,1.0,1.0,1.0
95,1.7539,1.0,1.0,1.0,1.0,1.0
96,1.7593,1.0,1.0,1.0,1.0,1.0
97,1.7647,1.0,1.0,1.0,1.0,1.0
98,1.7701,1.0,1.0,1.0,1.0,1.0
99,1.7754,1.0,1.0,1.0,1.0,1.0
100,1.7808,1.0,1.0,1.0,1.0,1.0
101,1.7862,1.0,1.0,1.0,1.0,1.0
102,1.7916,1.0,1.0,1.0,1.0,1.0
103,1.797,1.0,1.0,1.0,1.0,1.0
104,1.8024,1.0,1.0,1.0,1.0,1.0
105,1.8077,1.0,1.0,1.0,1.0,1.0
106,1.8131,1.0,1.0,1.0,1.0,1.0
107,1.8185,1.0,1.0,1.0,1.0,1.0
108,1.8239,1.0,1.0,1.0,1.0,1.0
109,1.8293,1.0,1.0,1.0,1.0,1.0
110,1.8346,1.0,1.0,1.0,1.0,1.0
111,1.84,1.0,1.0,1.0,1.0,1.0
112,1.8454,1.0,1.0,1.0,1.0,1.0
113,1.8508,1.0,1.0,1.0,1.0,1.0
114,1.8562,1.0,1.0,1.0,1.0,1.0
115,1.8616,0.0,1.0,1.0,1.0,1.0
116,1.8669,0.0,0.965707855073,1.0,1.0,1.0
117,1.8723,0.0,0.9428731642,1.0,1.0,1.0
