,a,0.00,0.05,0.10,0.30,0.60
0,1.2427,-3.86850754319e-07,-3.86850754319e-07,-3.86850754319e-07,-3.86850754319e-07,-3.86850754319e-07
1,1.2481,-3.91066979244e-07,-3.91066979244e-07,-3.91066979244e-07,-3.91066979244e-07,-3.91066979244e-07
2,1.2535,-3.95310655099e-07,-3.95310655099e-07,-3.95310655099e-07,-3.95310655099e-07,-3.95310655099e-07
3,1.2588,-3.99502495529e-07,-3.99502495529e-07,-3.99502495529e-07,-3.99502495529e-07,-3.99502495529e-07
4,1.2642,-4.03800741511e-07,-4.03800741511e-07,-4.03800741511e-07,-4.03800741511e-07,-4.03800741511e-07
5,1.2696,-4.08126615392e-07,-4.08126615392e-07,-4.08126615392e-07,-4.08126615392e-07,-4.08126615392e-07
6,1.275,-4.12480175793e-07,-4.12480175793e-07,-4.12480175793e-07,-4.12480175793e-07,-4.12480175793e-07
7,1.2804,-4.16861482888e-07,-4.16861482888e-07,-4.16861482888e-07,-4.16861482888e-07,-4.16861482888e-07
8,1.2857,-4.21188690369e-07,-4.21188690369e-07,-4.21188690369e-07,-4.21188690369e-07,-4.21188690369e-07
9,1.2911,-4.25625147349e-07,-4.25625147349e-07,-4.25625147349e-07,-4.25625147349e-07,-4.25625147349e-07
10,1.2965,-4.30089525105e-07,-4.30089525105e-07,-4.30089525105e-07,-4.30089525105e-07,-4.30089525105e-07
11,1.3019,-4.3458188137e-07,-4.3458188137e-07,-4.3458188137e-07,-4.3458188137e-07,-4.3458188137e-07
12,1.3073,-4.39102275207e-07,-4.39102275207e-07,-4.39102275207e-07,-4.39102275207e-07,-4.39102275207e-07
13,1.3126,-4.43566276154e-07,-4.43566276154e-07,-4.43566276154e-07,-4.43566276154e-07,-4.43566276154e-07
14,1.318,-4.48142395637e-07,-4.48142395637e-07,-4.48142395637e-07,-4.48142395637e-07,-4.48142395637e-07
15,1.3234,-4.52746724999e-07,-4.52746724999e-07,-4.52746724999e-07,-4.52746724999e-07,-4.52746724999e-07
16,1.3288,-4.57379321972e-07,-4.57379321972e-07,-4.57379321972e-07,-4.57379321972e-07,-4.57379321972e-07
17,1.3342,-4.62040243177e-07,-4.62040243177e-07,-4.62040243177e-07,-4.62040243177e-07,-4.62040243177e-07
18,1.3396,-4.66729546567e-07,-4.66729546567e-07,-4.66729546567e-07,-4.66729546567e-07,-4.66729546567e-07
19,1.3449,-4.7135966641e-07,-4.7135966641e-07,-4.7135966641e-07,-4.7135966641e-07,-4.7135966641e-07
20,1.3503,-4.76105380232e-07,-4.76105380232e-07,-4.76105380232e-07,-4.76105380232e-07,-4.76105380232e-07
21,1.3557,-4.80879646769e-07,-4.80879646769e-07,-4.80879646769e-07,-4.80879646769e-07,-4.80879646769e-07
22,1.3611,-4.85682522422e-07,-4.85682522422e-07,-4.85682522422e-07,-4.85682522422e-07,-4.85682522422e-07
23,1.3665,-4.90514066032e-07,-4.90514066032e-07,-4.90514066032e-07,-4.90514066032e-07,-4.90514066032e-07
24,1.3718,-4.95284068425e-07,-4.95284068425e-07,-4.95284068425e-07,-4.95284068425e-07,-4.95284068425e-07
25,1.3772,-5.00172583795e-07,-5.00172583795e-07,-5.00172583795e-07,-5.00172583795e-07,-5.00172583795e-07
26,1.3826,-5.05089934988e-07,-5.05089934988e-07,-5.05089934988e-07,-5.05089934988e-07,-5.05089934988e-07
27,1.388,-5.10036179291e-07,-5.10036179291e-07,-5.10036179291e-07,-5.10036179291e-07,-5.10036179291e-07
28,1.3934,-5.15011372215e-07,-5.15011372215e-07,-5.15011372215e-07,-5.15011372215e-07,-5.15011372215e-07
29,1.3987,-5.19922636943e-07,-5.19922636943e-07,-5.19922636943e-07,-5.19922636943e-07,-5.19922636943e-07
30,1.4041,-5.24955358738e-07,-5.24955358738e-07,-5.24955358738e-07,-5.24955358738e-07,-5.24955358738e-07
31,1.4095,-5.30017196354e-07,-5.30017196354e-07,-5.30017196354e-07,-5.30017196354e-07,-5.30017196354e-07
32,1.4149,-5.35108205968e-07,-5.35108205968e-07,-5.35108205968e-07,-5.35108205968e-07,-5.35108205968e-07
33,1.4203,-5.402284462e-07,-5.402284462e-07,-5.402284462e-07,-5.402284462e-07,-5.402284462e-07
34,1.4257,-5.45377967009e-07,-5.45377967009e-07,-5.45377967009e-07,-5.45377967009e-07,-5.45377967009e-07
35,1.431,-5.50460657944e-07,-5.50460657944e-07,-5.50460657944e-07,-5.50460657944e-07,-5.50460657944e-07
36,1.4364,-5.5566837065e-07,-5.5566837065e-07,-5.5566837065e-07,-5.5566837065e-07,-5.5566837065e-07
37,1.4418,-5.60905532909e-07,-5.60905532909e-07,-5.60905532909e-07,-5.60905532909e-07,-5.60905532909e-07
38,1.4472,-5.66172199346e-07,-5.66172199346e-07,-5.66172199346e-07,-5.66172199346e-07,-5.66172199346e-07
39,1.4526,-5.71468426136e-07,-5.71468426136e-07,-5.71468426136e-07,-5.71468426136e-07,-5.71468426136e-07
40,1.4579,-5.76695372345e-07,-5.76695372345e-07,-5.76695372345e-07,-5.76695372345e-07,-5.76695372345e-07
41,1.4633,-5.82050333708e-07,-5.82050333708e-07,-5.82050333708e-07,-5.82050333708e-07,-5.82050333708e-07
42,1.4687,-5.87435019295e-07,-5.87435019295e-07,-5.87435019295e-07,-5.87435019295e-07,-5.87435019295e-07
43,1.4741,-5.92849483505e-07,-5.92849483505e-07,-5.92849483505e-07,-5.92849483505e-07,-5.92849483505e-07
44,1.4795,-5.98293781628e-07,-5.98293781628e-07,-5.98293781628e-07,-5.98293781628e-07,-5.98293781628e-07
45,1.4849,-6.03767968732e-07,-6.03767968732e-07,-6.03767968732e-07,-6.03767968732e-07,-6.03767968732e-07
46,1.4902,-6.09169896526e-07,-6.09169896526e-07,-6.09169896526e-07,-6.09169896526e-07,-6.09169896526e-07
47,1.4956,-6.14703465462e-07,-6.14703465462e-07,-6.14703465462e-07,-6.14703465462e-07,-6.14703465462e-07
48,1.501,-6.2026708525e-07,-6.2026708525e-07,-6.2026708525e-07,-6.2026708525e-07,-6.2026708525e-07
49,1.5064,-6.25860808956e-07,-6.25860808956e-07,-6.25860808956e-07,-6.25860808956e-07,-6.25860808956e-07
50,1.5118,-6.31484691871e-07,-6.31484691871e-07,-6.31484691871e-07,-6.31484691871e-07,-6.31484691871e-07
51,1.5171,-6.37033806372e-07,-6.37033806372e-07,-6.37033806372e-07,-6.37033806372e-07,-6.37033806372e-07
52,1.5225,-6.42717607136e-07,-6.42717607136e-07,-6.42717607136e-07,-6.42717607136e-07,-6.42717607136e-07
53,1.5279,-6.48431726535e-07,-6.48431726535e-07,-6.48431726535e-07,-6.48431726535e-07,-6.48431726535e-07
54,1.5333,-6.54176220083e-07,-6.54176220083e-07,-6.54176220083e-07,-6.54176220083e-07,-6.54176220083e-07
55,1.5387,-6.59951138182e-07,-6.59951138182e-07,-6.59951138182e-07,-6.59951138182e-07,-6.59951138182e-07
56,1.544,-6.65648751896e-07,-6.65648751896e-07,-6.65648751896e-07,-6.65648751896e-07,-6.65648751896e-07
57,1.5494,-6.71484119641e-07,-6.71484119641e-07,-6.71484119641e-07,-6.71484119641e-07,-6.71484119641e-07
58,1.5548,-6.77350072698e-07,-6.77350072698e-07,-6.77350072698e-07,-6.77350072698e-07,-6.77350072698e-07
59,1.5602,-6.83246663913e-07,-6.83246663913e-07,-6.83246663913e-07,-6.83246663913e-07,-6.83246663913e-07
60,1.5656,-6.89173948576e-07,-6.89173948576e-07,-6.89173948576e-07,-6.89173948576e-07,-6.89173948576e-07
61,1.571,-6.95131977535e-07,-6.95131977535e-07,-6.95131977535e-07,-6.95131977535e-07,-6.95131977535e-07
62,1.5763,-7.01009620574e-07,-7.01009620574e-07,-7.01009620574e-07,-7.01009620574e-07,-7.01009620574e-07
63,1.5817,-7.07028727787e-07,-7.07028727787e-07,-7.07028727787e-07,-7.07028727787e-07,-7.07028727787e-07
64,1.5871,-7.13078738945e-07,-7.13078738945e-07,-7.13078738945e-07,-7.13078738945e-07,-7.13078738945e-07
65,1.5925,-7.1915970401e-07,-7.1915970401e-07,-7.1915970401e-07,-7.1915970401e-07,-7.1915970401e-07
66,1.5979,-7.25271678492e-07,-7.25271678492e-07,-7.25271678492e-07,-7.25271678492e-07,-7.25271678492e-07
67,1.6032,-7.31300670465e-07,-7.31300670465e-07,-7.31300670465e-07,-7.31300670465e-07,-7.31300670465e-07
68,1.6086,-7.37474243451e-07,-7.37474243451e-07,-7.37474243451e-07,-7.37474243451e-07,-7.37474243451e-07
69,1.614,-7.43678979509e-07,-7.43678979509e-07,-7.43678979509e-07,-7.43678979509e-07,-7.43678979509e-07
70,1.6194,-7.49914932596e-07,-7.49914932596e-07,-7.49914932596e-07,-7.49914932596e-07,-7.49914932596e-07
71,1.6248,-7.56182154005e-07,-7.56182154005e-07,-7.56182154005e-07,-7.56182154005e-07,-7.56182154005e-07
72,1.6302,-7.62480698357e-07,-7.62480698357e-07,-7.62480698357e-07,-7.62480698357e-07,-7.62480698357e-07
73,1.6355,-7.68693108943e-07,-7.68693108943e-07,-7.68693108943e-07,-7.68693108943e-07,-7.68693108943e-07
74,1.6409,-7.75053868196e-07,-7.75053868196e-07,-7.75053868196e-07,-7.75053868196e-07,-7.75053868196e-07
75,1.6463,-7.8144610427e-07,-7.8144610427e-07,-7.8144610427e-07,-7.8144610427e-07,-7.8144610427e-07
76,1.6517,-7.87869867569e-07,-7.87869867569e-07,-7.87869867569e-07,-7.87869867569e-07,-7.87869867569e-07
77,1.6571,-7.94325210274e-07,-7.94325210274e-07,-7.94325210274e-07,-7.94325210274e-07,-7.94325210274e-07
78,1.6624,-8.00691766001e-07,-8.00691766001e-07,-8.00691766001e-07,-8.00691766001e-07,-8.00691766001e-07
79,1.6678,-8.07209834752e-07,-8.07209834752e-07,-8.07209834752e-07,-8.07209834752e-07,-8.07209834752e-07
80,1.6732,-8.13759636564e-07,-8.13759636564e-07,-8.13759636564e-07,-8.13759636564e-07,-8.13759636564e-07
81,1.6786,-8.20341223173e-07,-8.20341223173e-07,-8.20341223173e-07,-8.20341223173e-07,-8.20341223173e-07
82,1.684,-8.26954644539e-07,-8.26954644539e-07,-8.26954644539e-07,-8.26954644539e-07,-8.26954644539e-07
83,1.6893,-8.33476600626e-07,-8.33476600626e-07,-8.33476600626e-07,-8.33476600626e-07,-8.33476600626e-07
84,1.6947,-8.40153254078e-07,-8.40153254078e-07,-8.40153254078e-07,-8.40153254078e-07,-8.40153254078e-07
85,1.7001,-8.46861895276e-07,-8.46861895276e-07,-8.46861895276e-07,-8.46861895276e-07,-8.46861895276e-07
