,a,0.00,0.05,0.10,0.30,0.60
0,1.2427,1.07679922357e-07,6.41865300575e-08,7.07898541034e-08,7.02108327865e-08,6.12295638518e-08
1,1.2481,1.08616967766e-07,6.47450900175e-08,7.14058770927e-08,7.08218170521e-08,6.17623918859e-08
2,1.2535,1.0955807266e-07,6.53060697814e-08,7.20245688279e-08,7.1435448235e-08,6.22975282471e-08
3,1.2588,1.10490070676e-07,6.586162106e-08,7.26372736092e-08,7.20431414368e-08,6.28274862025e-08
4,1.2642,1.11439238152e-07,6.64274068228e-08,7.32612657696e-08,7.26620296892e-08,6.33672071574e-08
5,1.2696,1.12392465118e-07,6.69956123871e-08,7.38879266757e-08,7.32835648604e-08,6.39092364393e-08
6,1.275,1.13349751567e-07,6.75662377502e-08,7.45172563255e-08,7.39077469456e-08,6.4453574048e-08
7,1.2804,1.14311097501e-07,6.81392829217e-08,7.51492547226e-08,7.45345759488e-08,6.50002199825e-08
8,1.2857,1.15263055165e-07,6.87067318774e-08,7.57750811797e-08,7.5155283497e-08,6.55415275102e-08
9,1.2911,1.16232463685e-07,6.92845830463e-08,7.64123799997e-08,7.57873695697e-08,6.60927580374e-08
10,1.2965,1.17205931688e-07,6.98648540164e-08,7.70523475652e-08,7.64221025582e-08,6.66462968921e-08
11,1.3019,1.18183459174e-07,7.0447544789e-08,7.76949838755e-08,7.70594824635e-08,6.72021440731e-08
12,1.3073,1.19165046138e-07,7.10326553661e-08,7.83402889307e-08,7.76995092844e-08,6.77602995778e-08
13,1.3126,1.20136963457e-07,7.16120019953e-08,7.89792370601e-08,7.83332311762e-08,6.83129566754e-08
14,1.318,1.21126613011e-07,7.22019185666e-08,7.96298425377e-08,7.89785150649e-08,6.88756967741e-08
15,1.3234,1.22120322048e-07,7.27942549419e-08,8.02831167616e-08,7.96264458706e-08,6.94407451986e-08
16,1.3288,1.23118090561e-07,7.33890111138e-08,8.09390597268e-08,8.02770235897e-08,7.00081019488e-08
17,1.3342,1.24119918562e-07,7.39861870915e-08,8.15976714375e-08,8.09302482265e-08,7.05777670238e-08
18,1.3396,1.25125806046e-07,7.45857828716e-08,8.22589518925e-08,8.15861197768e-08,7.11497404257e-08
19,1.3449,1.2612168611e-07,7.51794133668e-08,8.2913653371e-08,8.22354661644e-08,7.17160233543e-08
20,1.3503,1.27135636176e-07,7.57838151415e-08,8.35802342476e-08,8.28965947815e-08,7.22925813468e-08
21,1.3557,1.28153645718e-07,7.63906367186e-08,8.42494838672e-08,8.35603703144e-08,7.28714476626e-08
22,1.3611,1.29175714747e-07,7.69998780969e-08,8.49214022298e-08,8.4226792764e-08,7.3452622306e-08
23,1.3665,1.30201843257e-07,7.76115392761e-08,8.55959893383e-08,8.48958621256e-08,7.4036105275e-08
24,1.3718,1.31217682962e-07,7.82170674398e-08,8.62638124825e-08,8.5558222852e-08,7.46137377648e-08
25,1.3772,1.32251874047e-07,7.88335346134e-08,8.69437000107e-08,8.62325492792e-08,7.52018053231e-08
26,1.3826,1.33290124619e-07,7.9452421583e-08,8.76262562827e-08,8.69095226237e-08,7.57921812056e-08
27,1.388,1.34332434671e-07,8.00737283599e-08,8.83114812973e-08,8.75891428798e-08,7.63848654131e-08
28,1.3934,1.35378804204e-07,8.06974549359e-08,8.89993750543e-08,8.82714100513e-08,7.69798579457e-08
29,1.3987,1.36414603545e-07,8.13148807655e-08,8.96803198626e-08,8.89467851124e-08,7.75688399967e-08
30,1.4041,1.37469035651e-07,8.19434133354e-08,9.03735140399e-08,8.96343093494e-08,7.81684171177e-08
31,1.4095,1.38527527242e-07,8.25743657049e-08,9.1069376959e-08,9.03244805e-08,7.87703025618e-08
32,1.4149,1.39590078314e-07,8.32077378754e-08,9.17679086215e-08,9.10172985638e-08,7.93744963328e-08
33,1.4203,1.40656688865e-07,8.38435298459e-08,9.24691090255e-08,9.17127635413e-08,7.99809984271e-08
34,1.4257,1.41727358896e-07,8.44817416166e-08,9.31729781731e-08,9.24108754328e-08,8.05898088455e-08
35,1.431,1.4278712096e-07,8.51134513015e-08,9.38696763166e-08,9.31018749727e-08,8.11924167158e-08
36,1.4364,1.43865853567e-07,8.57564690604e-08,9.45788458824e-08,9.38052439353e-08,8.18058117221e-08
37,1.4418,1.44948645654e-07,8.64019066229e-08,9.52906841892e-08,9.45112597973e-08,8.24215150519e-08
38,1.4472,1.46035497219e-07,8.70497639855e-08,9.60051912389e-08,9.52199225863e-08,8.30395267074e-08
