,a,0.80,0.85,0.90,0.95
0,1.2427,3.29035286041e-10,1.83165206337e-08,7.07898541034e-08,2.97732916516e-08
1,1.2481,2.99724388635e-10,1.8019933608e-08,7.14058770927e-08,3.00330464604e-08
2,1.2536,3.02180143597e-10,1.81709292714e-08,7.20245688279e-08,3.02975546346e-08
3,1.259,2.74332116258e-10,1.78719127883e-08,7.26372736092e-08,3.05595814691e-08
4,1.2644,2.76561556275e-10,1.80225538684e-08,7.32612657696e-08,3.08227364776e-08
5,1.2699,2.50169794444e-10,1.77191291812e-08,7.38879266757e-08,3.10906920029e-08
6,1.2753,2.52186483159e-10,1.78672428753e-08,7.45172563255e-08,3.13561190339e-08
7,1.2807,2.54211267851e-10,1.75638051426e-08,7.51492547226e-08,3.16226742447e-08
8,1.2862,2.29058723669e-10,1.77094034321e-08,7.57750811797e-08,3.18940771212e-08
9,1.2916,2.30883169264e-10,1.74019530424e-08,7.64123799997e-08,3.21629043515e-08
10,1.2971,2.07178891795e-10,1.75450319663e-08,7.70523475652e-08,3.24366107328e-08
11,1.3025,2.08840142241e-10,1.72378229578e-08,7.76949838755e-08,3.2707709988e-08
12,1.3079,1.86565843444e-10,1.69300621779e-08,7.83402889307e-08,3.2979937416e-08
13,1.3134,1.88028449237e-10,1.7067573312e-08,7.89792370601e-08,3.32570911481e-08
14,1.3188,1.89496766256e-10,1.67602806914e-08,7.96298425377e-08,3.35315905977e-08
15,1.3242,1.68468775678e-10,1.6895316008e-08,8.02831167616e-08,3.38072182264e-08
16,1.3297,1.69774157275e-10,1.65847931718e-08,8.09390597268e-08,3.40878193084e-08
17,1.3351,1.50151649268e-10,1.62534322317e-08,8.15976714375e-08,3.43657189556e-08
18,1.3405,1.5130615489e-10,1.63828275468e-08,8.22589518925e-08,3.46447467796e-08
19,1.346,1.52465081922e-10,1.6048311847e-08,8.2913653371e-08,3.49287952138e-08
20,1.3514,1.34079616317e-10,1.61750721824e-08,8.35802342476e-08,3.52100950587e-08
21,1.3569,1.35098790605e-10,1.58411999646e-08,8.42494838672e-08,3.54964469946e-08
