,Unnamed: 0,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad],new flag,fraction
0,0,0.0,2.0119,32.4542234187,1.57079632679,0.956609112612,3.24542234187,1.57079632679,0.481035594978,0.988645170129,3.14159265359,0.0,0.0,0.0,1,0.1
1,1,0.00628947478196,2.0119031343,32.4541768413,1.57129171817,0.956610602895,3.24541160577,1.57575026993,0.481036330481,0.988645507826,3.14164954959,0.0,0.0,0.0,0,0.0999985979076
2,2,0.0125789495639,2.01191253714,32.4540371105,1.57178709434,0.956615073714,3.24537939767,1.580704237,0.481038536974,0.988646520878,3.14170643844,0.0,0.0,0.0,0,0.0999943916561
3,3,0.0188684243459,2.01192820832,32.4538042307,1.5722824401,0.956622524974,3.24532571822,1.58565825195,0.481042214411,0.98864820916,3.14176331298,0.0,0.0,0.0,0,0.099987381335
4,4,0.0251578991278,2.01195014751,32.453478209,1.57277774022,0.956632956522,3.24525056846,1.59061233873,0.481047362714,0.98865057247,3.14182016607,0.0,0.0,0.0,0,0.0999775670952
5,5,0.0314473739098,2.01197835425,32.4530590556,1.57327297951,0.956646368138,3.24515394988,1.59556652128,0.481053981773,0.988653610521,3.14187699055,0.0,0.0,0.0,0,0.0999649491415
6,6,0.0377368486918,2.01201282797,32.4525467834,1.57376814276,0.956662759543,3.24503586439,1.60052082355,0.481062071448,0.988657322945,3.14193377929,0.0,0.0,0.0,0,0.0999495277219
7,7,0.0440263234737,2.01205356793,32.4519414082,1.57426321475,0.956682130395,3.24489631431,1.60547526949,0.481071631567,0.988661709293,3.14199052513,0.0,0.0,0.0,0,0.0999313031761
8,8,0.0503157982557,2.01210057328,32.4512429489,1.57475818029,0.956704480289,3.24473530239,1.61042988307,0.481082661928,0.988666769034,3.14204722096,0.0,0.0,0.0,0,0.0999102758833
9,9,0.0566052730377,2.01215384306,32.450451427,1.57525302416,0.95672980876,3.24455283181,1.61538468824,0.481095162296,0.988672501555,3.14210385964,0.0,0.0,0.0,0,0.0998864462659
10,10,0.0628947478196,2.01221337613,32.449566867,1.57574773115,0.956758115277,3.24434890617,1.620339709,0.481109132406,0.988678906162,3.14216043405,0.0,0.0,0.0,0,0.0998598148432
11,11,0.0691842226016,2.01227917127,32.4485892963,1.57624228607,0.95678939925,3.24412352949,1.62529496931,0.481124571962,0.98868598208,3.14221693709,0.0,0.0,0.0,0,0.0998303821525
12,12,0.0754736973835,2.01235122709,32.4475187452,1.57673667371,0.956823660026,3.24387670621,1.63025049318,0.481141480634,0.988693728453,3.14227336165,0.0,0.0,0.0,0,0.0997981488223
13,13,0.0817631721655,2.01242954208,32.4463552468,1.57723087886,0.956860896887,3.2436084412,1.6352063046,0.481159858065,0.988702144343,3.14232970065,0.0,0.0,0.0,0,0.0997631155282
14,14,0.0880526469475,2.01251411462,32.4450988372,1.57772488632,0.956901109055,3.24331873975,1.64016242759,0.481179703864,0.988711228731,3.142385947,0.0,0.0,0.0,0,0.0997252829881
15,15,0.0943421217294,2.01260494294,32.4437495553,1.57821868088,0.95694429569,3.24300760759,1.64511888618,0.481201017608,0.988720980517,3.14244209363,0.0,0.0,0.0,0,0.0996846519952
16,16,0.100631596511,2.01270202512,32.4423074428,1.57871224736,0.956990455888,3.24267505084,1.6500757044,0.481223798844,0.988731398521,3.14249813351,0.0,0.0,0.0,0,0.0996412234161
17,17,0.106921071293,2.01280535915,32.4407725444,1.57920557054,0.957039588682,3.24232107609,1.65503290632,0.481248047088,0.988742481483,3.14255405957,0.0,0.0,0.0,0,0.0995949981402
18,18,0.113210546075,2.01291494285,32.4391449077,1.57969863524,0.957091693045,3.24194569031,1.659990516,0.481273761823,0.988754228059,3.14260986481,0.0,0.0,0.0,0,0.0995459771509
