,a,0.00,0.05,0.10,0.30,0.60
0,1.2427,-3.86662986538e-05,-3.86662986538e-05,-3.86662986538e-05,-3.86662986538e-05,-3.86662986538e-05
1,1.2481,-3.90875926097e-05,-3.90875926097e-05,-3.90875926097e-05,-3.90875926097e-05,-3.90875926097e-05
2,1.2535,-3.95116274245e-05,-3.95116274245e-05,-3.95116274245e-05,-3.95116274245e-05,-3.95116274245e-05
3,1.2588,-3.99304806342e-05,-3.99304806342e-05,-3.99304806342e-05,-3.99304806342e-05,-3.99304806342e-05
4,1.2642,-4.03599638124e-05,-4.03599638124e-05,-4.03599638124e-05,-4.03599638124e-05,-4.03599638124e-05
5,1.2696,-4.07922053862e-05,-4.07922053862e-05,-4.07922053862e-05,-4.07922053862e-05,-4.07922053862e-05
6,1.275,-4.12272112134e-05,-4.12272112134e-05,-4.12272112134e-05,-4.12272112134e-05,-4.12272112134e-05
7,1.2804,-4.16649871375e-05,-4.16649871375e-05,-4.16649871375e-05,-4.16649871375e-05,-4.16649871375e-05
8,1.2857,-4.2097355359e-05,-4.2097355359e-05,-4.2097355359e-05,-4.2097355359e-05,-4.2097355359e-05
9,1.2911,-4.25406373898e-05,-4.25406373898e-05,-4.25406373898e-05,-4.25406373898e-05,-4.25406373898e-05
10,1.2965,-4.29867068656e-05,-4.29867068656e-05,-4.29867068656e-05,-4.29867068656e-05,-4.29867068656e-05
11,1.3019,-4.34355695804e-05,-4.34355695804e-05,-4.34355695804e-05,-4.34355695804e-05,-4.34355695804e-05
12,1.3073,-4.3887231316e-05,-4.3887231316e-05,-4.3887231316e-05,-4.3887231316e-05,-4.3887231316e-05
13,1.3126,-4.43332562701e-05,-4.43332562701e-05,-4.43332562701e-05,-4.43332562701e-05,-4.43332562701e-05
14,1.318,-4.47904812433e-05,-4.47904812433e-05,-4.47904812433e-05,-4.47904812433e-05,-4.47904812433e-05
15,1.3234,-4.52505224025e-05,-4.52505224025e-05,-4.52505224025e-05,-4.52505224025e-05,-4.52505224025e-05
16,1.3288,-4.57133854812e-05,-4.57133854812e-05,-4.57133854812e-05,-4.57133854812e-05,-4.57133854812e-05
17,1.3342,-4.61790762007e-05,-4.61790762007e-05,-4.61790762007e-05,-4.61790762007e-05,-4.61790762007e-05
18,1.3396,-4.6647600271e-05,-4.6647600271e-05,-4.6647600271e-05,-4.6647600271e-05,-4.6647600271e-05
19,1.3449,-4.7110208609e-05,-4.7110208609e-05,-4.7110208609e-05,-4.7110208609e-05,-4.7110208609e-05
20,1.3503,-4.75843637309e-05,-4.75843637309e-05,-4.75843637309e-05,-4.75843637309e-05,-4.75843637309e-05
21,1.3557,-4.8061369158e-05,-4.8061369158e-05,-4.8061369158e-05,-4.8061369158e-05,-4.8061369158e-05
22,1.3611,-4.85412305511e-05,-4.85412305511e-05,-4.85412305511e-05,-4.85412305511e-05,-4.85412305511e-05
23,1.3665,-4.90239535633e-05,-4.90239535633e-05,-4.90239535633e-05,-4.90239535633e-05,-4.90239535633e-05
24,1.3718,-4.95005253331e-05,-4.95005253331e-05,-4.95005253331e-05,-4.95005253331e-05,-4.95005253331e-05
