,a,0.80,0.85,0.90,0.95
0,1.2427,8.54030476123e-05,4.72119625563e-05,-3.86662986538e-05,-3.86662986538e-05
1,1.2481,8.64424681781e-05,4.83299300638e-05,-3.90875926097e-05,-3.90875926097e-05
2,1.2536,8.73284977512e-05,4.88349957597e-05,-3.95116274245e-05,-3.95195058074e-05
3,1.259,8.83783478469e-05,4.99747379263e-05,-3.99304806342e-05,-3.99463382976e-05
4,1.2644,8.92768534382e-05,5.05026122481e-05,-4.03599638124e-05,-4.03759235339e-05
5,1.2699,9.03369840466e-05,5.16542474085e-05,-4.07922053862e-05,-4.0816299804e-05
6,1.2753,9.12479938833e-05,5.21953332813e-05,-4.12272112134e-05,-4.12514593722e-05
7,1.2807,9.21644944436e-05,5.33791357271e-05,-4.16649871375e-05,-4.16893893611e-05
8,1.2862,9.32417908006e-05,5.39336436203e-05,-4.2097355359e-05,-4.21382830471e-05
9,1.2916,9.41708530564e-05,5.51290400927e-05,-4.25406373898e-05,-4.25818229313e-05
10,1.2971,9.52581083407e-05,5.56970506631e-05,-4.29867068656e-05,-4.30364424571e-05
11,1.3025,9.62182755431e-05,5.69253156257e-05,-4.34355695804e-05,-4.34856158895e-05
12,1.3079,9.73154602806e-05,5.8154655233e-05,-4.3887231316e-05,-4.39375889825e-05
13,1.3134,9.82698255001e-05,5.87465674631e-05,-4.43332562701e-05,-4.44008158254e-05
14,1.3188,9.9229785018e-05,6.00093115923e-05,-4.47904812433e-05,-4.48584576482e-05
15,1.3242,0.000100343622052,6.06151681903e-05,-4.52505224025e-05,-4.53189165084e-05
16,1.3297,0.000101316239968,6.18887957198e-05,-4.57133854812e-05,-4.57908040825e-05
17,1.3351,0.000102439504503,6.32039605615e-05,-4.61790762007e-05,-4.62569666313e-05
18,1.3405,0.000103424798489,6.38344799027e-05,-4.6647600271e-05,-4.67259634818e-05
19,1.346,0.000104415757432,6.51606658824e-05,-4.7110208609e-05,-4.72065648669e-05
20,1.3514,0.000105555290183,6.58056071374e-05,-4.75843637309e-05,-4.76813001475e-05
21,1.3569,0.000106558970189,6.71669531609e-05,-4.8061369158e-05,-4.81677580124e-05
22,1.3623,0.000107707536951,6.78265299445e-05,-4.85412305511e-05,-4.8648254833e-05
23,1.3677,0.000108723951292,6.8477424642e-05,-4.90239535633e-05,-4.9131614527e-05
24,1.3732,0.000109746099667,6.98727685924e-05,-4.95005253331e-05,-4.96268740473e-05
