,e,1.30,1.80,2.20
0,0.0,1.17821976239e-05,2.25862250566e-05,0.0
1,0.0047,5.42648307012e-06,1.04029429577e-05,2.30620886397e-06
2,0.0095,5.01416732679e-06,9.57088653235e-06,6.25361219705e-06
3,0.0142,4.8486809682e-06,8.85174535179e-06,6.62775112028e-06
4,0.019,4.72845193152e-06,8.38095175856e-06,6.40133075638e-06
5,0.0238,4.60432175944e-06,8.10974153734e-06,6.27218627236e-06
6,0.0285,4.47732945798e-06,7.88281648804e-06,6.16348189198e-06
7,0.0333,4.35529142141e-06,7.68213403067e-06,5.97901481287e-06
8,0.038,4.24935077211e-06,7.51644633119e-06,5.81023714683e-06
9,0.0427,4.17475777639e-06,7.40781146463e-06,5.63231662542e-06
10,0.0475,4.15067152352e-06,7.38776461049e-06,5.5114172998e-06
11,0.0522,4.20258112703e-06,7.49969614241e-06,5.48840589506e-06
12,0.057,4.28429374704e-06,7.65926670257e-06,5.56531215024e-06
13,0.0617,4.32016039947e-06,7.73358760495e-06,5.57200541215e-06
14,0.0665,4.34384052705e-06,7.78406258017e-06,5.53327803855e-06
15,0.0712,4.36249393958e-06,7.82409063196e-06,5.51337720226e-06
16,0.076,4.38129354938e-06,7.86310423859e-06,5.51838535155e-06
17,0.0808,4.40401349831e-06,7.90746784827e-06,5.55609682585e-06
18,0.0855,4.41303649967e-06,7.92610231592e-06,5.60184465667e-06
19,0.0902,4.4205531663e-06,7.94161863458e-06,5.58319828731e-06
20,0.095,4.42692576574e-06,7.95463759934e-06,5.57705813428e-06
21,0.0997,4.43238938202e-06,7.96566538608e-06,5.58341148817e-06
22,0.1045,4.43706154157e-06,7.97495923075e-06,5.60197219413e-06
23,0.1092,4.44109838917e-06,7.98296698683e-06,5.63275580913e-06
24,0.114,4.44461567223e-06,7.98975801328e-06,5.67569031069e-06
25,0.1187,4.46014394449e-06,8.01907078742e-06,5.63680758491e-06
26,0.1235,4.46306451054e-06,8.02797919807e-06,5.68574259369e-06
27,0.1283,4.46039053361e-06,8.02712965882e-06,5.63197145234e-06
28,0.133,4.45739436511e-06,8.02527301592e-06,5.70298641415e-06
29,0.1377,4.45441476386e-06,8.02322638742e-06,5.66814027364e-06
30,0.1425,4.45164707807e-06,8.02052324184e-06,5.63755411983e-06
31,0.1472,4.44999410314e-06,8.0175518084e-06,5.61614490805e-06
32,0.152,4.44782421657e-06,8.01281753286e-06,5.726696758e-06
33,0.1568,4.45220163583e-06,8.0192807039e-06,5.72757717991e-06
34,0.1615,4.45447276616e-06,8.02176167718e-06,5.7292357573e-06
35,0.1663,4.45464081502e-06,8.02046441495e-06,5.73208809907e-06
36,0.171,4.45456453207e-06,8.01964011707e-06,5.7447554091e-06
37,0.1757,4.45234526186e-06,8.01429852053e-06,5.75763970063e-06
38,0.1805,4.4502852363e-06,8.00960646148e-06,5.77847168417e-06
39,0.1852,4.44744587158e-06,8.00343806071e-06,5.80432589948e-06
40,0.19,4.44505516113e-06,7.99823752149e-06,5.83919713646e-06
41,0.1948,4.44486555874e-06,7.99697697518e-06,5.88326219919e-06
42,0.1995,4.44444402373e-06,7.99457965191e-06,5.93000157051e-06
43,0.2042,4.44321535031e-06,7.99159337749e-06,5.81086648619e-06
44,0.209,4.44304762793e-06,7.99000149525e-06,5.87301456218e-06
45,0.2137,4.44035144706e-06,7.9839390552e-06,5.94021746196e-06
46,0.2185,4.43769319087e-06,7.97780290116e-06,6.0149795447e-06
47,0.2233,4.4356451699e-06,7.97293573679e-06,6.09425404734e-06
48,0.228,4.43158713173e-06,7.96414389308e-06,6.18164140145e-06
49,0.2327,4.43004320513e-06,7.96023567021e-06,6.08277705418e-06
50,0.2375,4.42953033224e-06,7.95753181104e-06,6.1805798033e-06
51,0.2422,4.42783887455e-06,7.95335990373e-06,6.28368091628e-06
52,0.247,4.42654473503e-06,7.9493106323e-06,6.39582312241e-06
53,0.2517,4.42289716339e-06,7.94076357009e-06,6.30371858241e-06
54,0.2565,4.41987847683e-06,7.93373424308e-06,6.42337788232e-06
55,0.2612,4.41884304771e-06,7.93037531935e-06,6.55028196962e-06
56,0.266,4.41518012025e-06,7.92208376243e-06,6.456921054e-06
