,e,1.30,1.80,2.20
0,0.0,1.1782197624e-05,2.25862250563e-05,0.0
1,0.0047,5.42648307012e-06,1.04029429577e-05,2.30620886397e-06
2,0.0095,4.9924577904e-06,9.57088653236e-06,6.25361219704e-06
3,0.0142,4.61733245318e-06,8.85174535178e-06,6.62775112029e-06
4,0.019,4.28963495568e-06,8.22352663265e-06,6.40133075639e-06
5,0.0238,4.00962406023e-06,7.6867264215e-06,6.01642356895e-06
6,0.0285,3.78357529669e-06,7.25337534509e-06,5.61844376632e-06
7,0.0333,3.614945453e-06,6.93010030645e-06,5.23873240741e-06
8,0.038,3.50634141029e-06,6.72189887869e-06,4.98330017986e-06
9,0.0427,3.46075522511e-06,6.63450704312e-06,4.81131560187e-06
10,0.0475,3.48114947891e-06,6.67360427646e-06,4.75662962831e-06
11,0.0522,3.57099137989e-06,6.84583746085e-06,4.80991394473e-06
12,0.057,3.67085320483e-06,7.03727946177e-06,4.92804176441e-06
13,0.0617,3.72238454562e-06,7.13606855349e-06,4.9648111438e-06
14,0.0665,3.75953574748e-06,7.20728992638e-06,4.95163367922e-06
15,0.0712,3.79042334387e-06,7.26650353507e-06,4.9558067296e-06
16,0.076,3.81973134048e-06,7.32268894179e-06,4.98300128578e-06
17,0.0808,3.84775929584e-06,7.37642042092e-06,5.03299869374e-06
18,0.0855,3.86005602318e-06,7.39999405259e-06,5.08465318707e-06
19,0.0902,3.8702636501e-06,7.4195627349e-06,5.07086019933e-06
20,0.095,3.87882413398e-06,7.43597373061e-06,5.06881460111e-06
21,0.0997,3.8860524615e-06,7.44983089069e-06,5.07852102356e-06
22,0.1045,3.89215547782e-06,7.46153075187e-06,5.09994446814e-06
23,0.1092,3.89734285438e-06,7.47147526846e-06,5.13314569164e-06
24,0.114,3.90174120772e-06,7.47990717333e-06,5.17816034795e-06
25,0.1187,3.92134337244e-06,7.51748582779e-06,5.1508211214e-06
26,0.1235,3.93502155873e-06,7.54370780629e-06,5.22175389313e-06
27,0.1283,3.94001937911e-06,7.55328892609e-06,5.17890971882e-06
28,0.133,3.94121088811e-06,7.55557308527e-06,5.2520018109e-06
29,0.1377,3.94057922952e-06,7.55436210698e-06,5.21689969049e-06
30,0.1425,3.93879154915e-06,7.5509349554e-06,5.186263889e-06
31,0.1472,3.93711199864e-06,7.54771509658e-06,5.16475119386e-06
32,0.152,3.93443257713e-06,7.54257841598e-06,5.27509285091e-06
33,0.1568,3.9378579522e-06,7.54914504905e-06,5.27677851005e-06
34,0.1615,3.94012815544e-06,7.55349713762e-06,5.28152932888e-06
35,0.1663,3.9409601169e-06,7.55509201722e-06,5.28876460167e-06
36,0.171,3.94232541113e-06,7.55770933267e-06,5.30637816413e-06
37,0.1757,3.9408306531e-06,7.55484373095e-06,5.32283666373e-06
38,0.1805,3.93982778891e-06,7.55292112318e-06,5.34752625768e-06
39,0.1852,3.93767453948e-06,7.54879314764e-06,5.37617087985e-06
40,0.19,3.93616208122e-06,7.54589361289e-06,5.41384995659e-06
41,0.1948,3.9361094306e-06,7.54579262859e-06,5.45975081208e-06
42,0.1995,3.93549397705e-06,7.54461271043e-06,5.50817315032e-06
43,0.2042,3.93515445942e-06,7.5439617802e-06,5.39201179626e-06
44,0.209,3.93487740501e-06,7.54343059717e-06,5.45580883062e-06
45,0.2137,3.93276322976e-06,7.53937752583e-06,5.5252652198e-06
46,0.2185,3.93033146271e-06,7.53471560861e-06,5.60210249966e-06
47,0.2233,3.92830855323e-06,7.53083750003e-06,5.682774632e-06
48,0.228,3.92425186646e-06,7.52306049915e-06,5.77105284396e-06
49,0.2327,3.92278158245e-06,7.52024180945e-06,5.67316577157e-06
50,0.2375,3.92195177415e-06,7.51865095462e-06,5.77271582097e-06
51,0.2422,3.91995262209e-06,7.51481838644e-06,5.87646547807e-06
52,0.247,3.91813932763e-06,7.51134211997e-06,5.98996977138e-06
53,0.2517,3.91410633644e-06,7.50361054054e-06,5.89969498236e-06
54,0.2565,3.91070882086e-06,7.49709721219e-06,6.02079417221e-06
55,0.2612,3.90875625929e-06,7.49335396037e-06,6.14823272554e-06
56,0.266,3.90475989156e-06,7.48569258917e-06,6.05652849915e-06
57,0.2707,3.90083485248e-06,7.47816796098e-06,6.1988755849e-06
58,0.2755,3.8967272381e-06,7.470293321e-06,6.10934977757e-06
59,0.2802,3.89331203796e-06,7.46374608456e-06,6.2612120864e-06
60,0.285,3.88947644095e-06,7.45639291918e-06,6.4249591444e-06
61,0.2898,3.88557847132e-06,7.44892018018e-06,6.34270678417e-06
62,0.2945,3.8837838389e-06,7.44547968007e-06,6.51277764602e-06
63,0.2993,3.87810461032e-06,7.43459214441e-06,6.42916232964e-06
64,0.304,3.87362382067e-06,7.42600209674e-06,6.61894968338e-06
65,0.3087,3.86748445761e-06,7.41423244946e-06,6.81533160496e-06
66,0.3135,3.86379551175e-06,7.40716041929e-06,6.73311032093e-06
67,0.3182,3.85832942442e-06,7.39668148639e-06,6.94756491757e-06
68,0.323,3.85254165256e-06,7.38558586025e-06,6.87292632457e-06
69,0.3277,3.84635577241e-06,7.37372703019e-06,7.09891877136e-06
70,0.3325,3.8873872519e-06,7.4523872094e-06,7.47105578396e-06
