,e,1.30,1.80,2.20
0,0.0,1.17821976239e-05,2.25862250566e-05,0.0
1,0.0047,5.41983435501e-06,1.03901978486e-05,2.25168002666e-06
2,0.0095,5.01566438635e-06,9.57537014725e-06,6.16199070079e-06
3,0.0142,4.85474775748e-06,8.87836551499e-06,6.50465582148e-06
4,0.019,4.74044908788e-06,8.42727964624e-06,6.3154850366e-06
5,0.0238,4.62414206805e-06,8.17264390339e-06,6.18166022392e-06
6,0.0285,4.50707117253e-06,7.96433237749e-06,6.06532518779e-06
7,0.0333,4.39676790793e-06,7.7846584187e-06,5.91187056174e-06
8,0.038,4.30367986112e-06,7.6413673192e-06,5.73950066847e-06
9,0.0427,4.24091811837e-06,7.55320469624e-06,5.59804750422e-06
10,0.0475,4.22466436357e-06,7.54647952776e-06,5.46561802375e-06
11,0.0522,4.27509636075e-06,7.65532122126e-06,5.46363916914e-06
12,0.057,4.34912378746e-06,7.80107002775e-06,5.49788617516e-06
13,0.0617,4.3821181209e-06,7.87004326023e-06,5.52233679215e-06
14,0.0665,4.40385991489e-06,7.91697327033e-06,5.50640429062e-06
15,0.0712,4.42114521011e-06,7.95430415075e-06,5.51087384208e-06
16,0.076,4.43834477602e-06,7.99025423668e-06,5.4733902827e-06
17,0.0808,4.45861347271e-06,8.03012657351e-06,5.52861043124e-06
18,0.0855,4.46678365711e-06,8.04717503415e-06,5.52099343493e-06
19,0.0902,4.47355552362e-06,8.06121010724e-06,5.52565161981e-06
20,0.095,4.47920508321e-06,8.07288890972e-06,5.54209002313e-06
21,0.0997,4.48399682119e-06,8.08261693402e-06,5.56981230795e-06
22,0.1045,4.48803523753e-06,8.09075074967e-06,5.52927674388e-06
23,0.1092,4.49147194792e-06,8.09757784734e-06,5.57608543607e-06
24,0.114,4.49440197378e-06,8.10325522796e-06,5.550072265e-06
25,0.1187,4.50782509913e-06,8.12863328053e-06,5.62274923961e-06
26,0.1235,4.51025642915e-06,8.13645406279e-06,5.59547420201e-06
27,0.1283,4.50745773973e-06,8.13516846672e-06,5.57013762937e-06
28,0.133,4.50415605362e-06,8.13255047159e-06,5.64461584117e-06
29,0.1377,4.50066646203e-06,8.12963580928e-06,5.6344895149e-06
30,0.1425,4.49771199536e-06,8.126244563e-06,5.62929614933e-06
31,0.1472,4.49509842144e-06,8.12158353306e-06,5.62946984453e-06
32,0.152,4.49298933582e-06,8.11682752439e-06,5.63627186981e-06
33,0.1568,4.49508638311e-06,8.11901159285e-06,5.6510492714e-06
34,0.1615,4.49716096186e-06,8.12110587346e-06,5.67145048838e-06
35,0.1663,4.49664026475e-06,8.11861327436e-06,5.68952085491e-06
36,0.171,4.49547351622e-06,8.11540040874e-06,5.71457557388e-06
37,0.1757,4.49328479962e-06,8.11036997854e-06,5.74186502815e-06
38,0.1805,4.49033140485e-06,8.103827493e-06,5.77209287191e-06
39,0.1852,4.48745403335e-06,8.09756858474e-06,5.69787547555e-06
40,0.19,4.48418082536e-06,8.090434028e-06,5.73527619562e-06
41,0.1948,4.48276235655e-06,8.08675754472e-06,5.77837271598e-06
42,0.1995,4.48161999709e-06,8.08344802261e-06,5.82534851324e-06
43,0.2042,4.48040774485e-06,8.07992000136e-06,5.87836959485e-06
44,0.209,4.47732321369e-06,8.07315830639e-06,5.92885383436e-06
45,0.2137,4.47457902288e-06,8.06690414206e-06,5.99089557385e-06
46,0.2185,4.47178540875e-06,8.06028803403e-06,6.05680751421e-06
47,0.2233,4.46810510799e-06,8.05244988975e-06,6.00547485106e-06
48,0.228,4.46425370214e-06,8.04387812812e-06,6.07514430587e-06
49,0.2327,4.46134627168e-06,8.0369159168e-06,6.1492229568e-06
50,0.2375,4.45969136653e-06,8.03246287574e-06,6.22549237058e-06
51,0.2422,4.45648945468e-06,8.02514343632e-06,6.17993802596e-06
52,0.247,4.45511819515e-06,8.02084209597e-06,6.26146307561e-06
53,0.2517,4.45067291867e-06,8.01104503586e-06,6.34351596891e-06
54,0.2565,4.44802551946e-06,8.00433293114e-06,6.42907254411e-06
55,0.2612,4.44353191622e-06,7.99402852961e-06,6.38694275717e-06
56,0.266,4.44017749237e-06,7.98602025013e-06,6.47516416082e-06
57,0.2707,4.4364889556e-06,7.97695466788e-06,6.56656106047e-06
58,0.2755,4.43212721924e-06,7.96665163899e-06,6.52688574933e-06
59,0.2802,4.42940051114e-06,7.95903506146e-06,6.62341791528e-06
60,0.285,4.42656051708e-06,7.95126837331e-06,6.72215059563e-06
61,0.2898,4.4219314285e-06,7.9397601603e-06,6.82555712469e-06
62,0.2945,4.41828316282e-06,7.93009340573e-06,6.92892286606e-06
63,0.2993,4.41497262872e-06,7.92093866716e-06,6.89351875403e-06
64,0.304,4.41070187691e-06,7.91013043968e-06,6.99939882647e-06
65,0.3087,4.40524545795e-06,7.89650003553e-06,7.1107778225e-06
66,0.3135,4.40066817018e-06,7.88429757241e-06,7.22196381106e-06
67,0.3182,4.39580165787e-06,7.87178473272e-06,7.33937962919e-06
68,0.323,4.39146528652e-06,7.85990519891e-06,7.4604487977e-06
69,0.3277,4.38659028179e-06,7.84665256805e-06,7.43140721887e-06
70,0.3325,4.45615508591e-06,7.95745242911e-06,7.71231563491e-06
71,0.3372,4.45345242464e-06,7.94824265283e-06,7.83612013208e-06
72,0.342,4.45077764416e-06,7.93942136204e-06,7.96238913726e-06
73,0.3468,4.44766116103e-06,7.9292574308e-06,8.08970041523e-06
74,0.3515,4.44471294091e-06,7.91911816296e-06,8.38175913415e-06
75,0.3563,4.44083300404e-06,7.90770397831e-06,8.51365435666e-06
76,0.361,4.43885001285e-06,7.89888330851e-06,8.65094487429e-06
77,0.3657,4.43629181071e-06,7.88929938078e-06,8.78943540526e-06
78,0.3705,4.4338815882e-06,7.87943657898e-06,9.09778971155e-06
79,0.3752,4.43060267478e-06,7.86829838966e-06,9.40989042993e-06
80,0.38,4.42816413123e-06,7.85827570958e-06,9.72921304356e-06
81,0.3847,4.42549769621e-06,7.84738377218e-06,1.00509050337e-05
82,0.3895,4.42237608776e-06,7.8356684353e-06,1.07253957524e-05
83,0.3942,4.41884658122e-06,7.8229331781e-06,1.14061083615e-05
84,0.399,4.4156962e-06,7.81087363575e-06,1.13863073163e-05
85,0.4037,4.41300042144e-06,7.79952922238e-06,1.13675003875e-05
86,0.4085,4.41103971322e-06,7.78915798981e-06,1.13497980106e-05
87,0.4133,4.40771383044e-06,7.77560037822e-06,1.13272468997e-05
88,0.418,4.40645200409e-06,7.76615937894e-06,1.13106959448e-05
89,0.4228,4.40297265808e-06,7.75214131143e-06,1.12874916494e-05
90,0.4275,4.39999515292e-06,7.73901166897e-06,1.12655159305e-05
91,0.4322,4.3977313656e-06,7.72683502757e-06,1.12448237773e-05
92,0.437,4.39523548805e-06,7.71312121128e-06,1.12218529e-05
93,0.4417,4.39240344502e-06,7.69904810648e-06,1.11979930828e-05
94,0.4465,4.39012127463e-06,7.68600027321e-06,1.11757063635e-05
95,0.4512,4.38870055024e-06,7.67343306528e-06,1.11534613005e-05
96,0.456,4.38800746445e-06,7.66192788384e-06,1.11338435668e-05
97,0.4607,4.38575103163e-06,7.64751161091e-06,1.11090193862e-05
98,0.4655,4.38373535054e-06,7.6326859898e-06,1.10833744034e-05
99,0.4703,4.38382751963e-06,7.62133171221e-06,1.10632545357e-05
100,0.475,4.38223295482e-06,7.60615558967e-06,1.10368102051e-05
101,0.4798,4.38123326465e-06,7.5923434003e-06,1.10120674421e-05
102,0.4845,4.38008494529e-06,7.57672198022e-06,1.09857298971e-05
103,0.4892,4.37926935305e-06,7.56228321235e-06,1.09601470066e-05
104,0.494,4.37876773638e-06,7.546811142e-06,1.09326435667e-05
105,0.4987,4.38062431684e-06,7.5347243966e-06,1.09104078751e-05
106,0.5035,4.38001581096e-06,7.51816975768e-06,1.0881532056e-05
107,0.5082,4.38291064582e-06,7.50586454841e-06,1.08584378951e-05
108,0.513,4.38458951792e-06,7.49171993004e-06,1.08325287701e-05
109,0.5177,4.3869898909e-06,7.47645516615e-06,1.08049948728e-05
110,0.5225,4.39034192187e-06,7.46263675205e-06,1.07790096739e-05
111,0.5272,4.39330693996e-06,7.44609974022e-06,1.0749587453e-05
112,0.532,4.39804273054e-06,7.43136205391e-06,1.07222499416e-05
113,0.5367,4.40503671051e-06,7.41658888932e-06,1.06935395072e-05
114,0.5415,4.41313996517e-06,7.40051980797e-06,1.06642164705e-05
115,0.5463,4.4247464267e-06,7.38838953174e-06,1.06395512754e-05
116,0.551,4.4330137379e-06,7.37120675032e-06,1.06072691705e-05
117,0.5557,4.4437918471e-06,7.3576536129e-06,1.05803296314e-05
118,0.5605,4.45379072613e-06,7.34348948378e-06,1.05518811871e-05
119,0.5653,4.46438607937e-06,7.32928632018e-06,1.0523079097e-05
120,0.57,4.47416549603e-06,7.31474494884e-06,1.04936246918e-05
121,0.5747,4.48321537093e-06,7.29795827355e-06,1.04606786345e-05
122,0.5795,4.49372897304e-06,7.28465625052e-06,1.04316003379e-05
123,0.5842,4.50413487378e-06,7.27079313458e-06,1.04024971924e-05
124,0.589,4.51387365787e-06,7.25564722212e-06,1.03709143892e-05
125,0.5938,4.52460842352e-06,7.24268784991e-06,1.03410134733e-05
126,0.5985,4.5347670758e-06,7.22905919612e-06,1.0311315074e-05
127,0.6032,4.54396866005e-06,7.21373413286e-06,1.02765568007e-05
128,0.608,4.55467012728e-06,7.20143595031e-06,1.02475903231e-05
129,0.6128,4.5682427642e-06,7.19354337869e-06,1.02230507809e-05
130,0.6175,4.5750666397e-06,7.17569473037e-06,1.01844260146e-05
131,0.6222,4.58766215421e-06,7.16711066117e-06,1.01572010355e-05
132,0.627,4.59802415741e-06,7.15575034478e-06,1.01264694961e-05
133,0.6318,4.60956221436e-06,7.14669874239e-06,1.00975846306e-05
134,0.6365,4.6204471339e-06,7.13671471962e-06,1.00663460702e-05
135,0.6412,4.62943587643e-06,7.12517009666e-06,1.00329066218e-05
136,0.646,4.64134659705e-06,7.11864955269e-06,1.00047641139e-05
137,0.6507,4.65183839316e-06,7.1105282384e-06,9.97324654578e-06
138,0.6555,4.66203835607e-06,7.10358855757e-06,9.94225685496e-06
139,0.6603,4.67402267918e-06,7.10029840255e-06,9.91502960225e-06
140,0.665,4.68555491262e-06,7.09774700274e-06,9.88746507047e-06
141,0.6697,4.69538223786e-06,7.09390677645e-06,9.85549697145e-06
142,0.6745,4.7075167514e-06,7.094889093e-06,9.82978555562e-06
143,0.6793,4.71781679389e-06,7.09539399254e-06,9.80093320462e-06
144,0.684,4.72939256375e-06,7.10057164041e-06,9.77441550853e-06
145,0.6887,4.74136577134e-06,7.1094217603e-06,9.74997848225e-06
146,0.6935,4.75139436228e-06,7.11986842358e-06,9.7228603523e-06
147,0.6983,4.76355913935e-06,7.14011429219e-06,9.70017554607e-06
148,0.703,4.77249294669e-06,7.16640869452e-06,9.67204967275e-06
149,0.7077,4.78308947689e-06,7.19486017233e-06,9.64902509162e-06
150,0.7125,4.79572568833e-06,7.2266039791e-06,9.63152842355e-06
151,0.7172,4.80894719917e-06,7.25923942035e-06,9.61680362776e-06
152,0.722,4.81717164775e-06,7.28422109525e-06,9.59431555868e-06
153,0.7268,4.82924510839e-06,7.31536364266e-06,9.58218023334e-06
154,0.7315,4.84380911429e-06,7.34992370992e-06,9.57745251212e-06
155,0.7362,4.85156870088e-06,7.37426748098e-06,9.56319251172e-06
156,0.741,4.86309059051e-06,7.40438027875e-06,9.55932881614e-06
157,0.7458,4.8746688464e-06,7.43455868679e-06,9.56121488179e-06
158,0.7505,4.88529975109e-06,7.46311357493e-06,9.56515739363e-06
159,0.7552,4.89706374329e-06,7.49394355222e-06,9.58004041179e-06
160,0.76,4.90903033292e-06,7.5245576583e-06,9.60505926061e-06
161,0.7647,4.91852402247e-06,7.55172897733e-06,9.64827056741e-06
162,0.7695,4.93136019475e-06,7.58387787685e-06,9.70530740422e-06
163,0.7742,4.94067707684e-06,7.61069612923e-06,9.75553770716e-06
164,0.779,4.95404107697e-06,7.64375340227e-06,9.81369522087e-06
165,0.7837,4.96462121847e-06,7.67268155723e-06,9.86668075915e-06
166,0.7885,4.97426040967e-06,7.69986902981e-06,9.91697673101e-06
167,0.7933,4.98588247594e-06,7.73032478875e-06,9.97165756033e-06
168,0.798,4.99791990623e-06,7.76147968532e-06,1.00272221175e-05
169,0.8027,5.00854900529e-06,7.79018393492e-06,1.00792109532e-05
170,0.8075,5.01884543342e-06,7.81892806052e-06,1.01318593322e-05
171,0.8123,5.02999705186e-06,7.84877447743e-06,1.01855642336e-05
172,0.817,5.03939488194e-06,7.87586832617e-06,1.02355902622e-05
173,0.8217,5.05011647821e-06,7.90523460084e-06,1.02887310538e-05
