,e,1.30,1.80,2.20
0,0.0,1.1782197624e-05,2.25862250563e-05,0.0
1,0.0047,5.41983435501e-06,1.03901978486e-05,2.25168002666e-06
2,0.0095,4.9947961492e-06,9.57537014726e-06,6.1619907008e-06
3,0.0142,4.63121793813e-06,8.878365515e-06,6.50465582149e-06
4,0.019,4.31800610048e-06,8.27791670963e-06,6.31548503661e-06
5,0.0238,4.05416459249e-06,7.7721142446e-06,5.94143584344e-06
6,0.0285,3.84496778668e-06,7.3710694568e-06,5.55505173415e-06
7,0.0333,3.69269695958e-06,7.07915571029e-06,5.22220290587e-06
8,0.038,3.59864406916e-06,6.89884977655e-06,4.97263094054e-06
9,0.0427,3.56382741198e-06,6.83210379824e-06,4.83891252499e-06
10,0.0475,3.58906042281e-06,6.88047718357e-06,4.76802810018e-06
11,0.0522,3.67482214823e-06,7.04488829395e-06,4.83590381943e-06
12,0.057,3.76670438998e-06,7.22103285893e-06,4.90898451383e-06
13,0.0617,3.81467965424e-06,7.31300471717e-06,4.96144148834e-06
14,0.0665,3.84960817156e-06,7.37996506175e-06,4.97001812531e-06
15,0.0712,3.87831153999e-06,7.43499136721e-06,4.99655179774e-06
16,0.076,3.90526254716e-06,7.48665827577e-06,4.97923118067e-06
17,0.0808,3.93060229412e-06,7.53523628845e-06,5.04574753151e-06
18,0.0855,3.94191998666e-06,7.55693305711e-06,5.04362128899e-06
19,0.0902,3.95125467503e-06,7.57482827076e-06,5.05284297283e-06
20,0.095,3.95900901763e-06,7.58969385358e-06,5.07307206743e-06
21,0.0997,3.96548740063e-06,7.60211333458e-06,5.10397265177e-06
22,0.1045,3.97089569642e-06,7.61248138526e-06,5.06609833201e-06
23,0.1092,3.97541542038e-06,7.62114598324e-06,5.11514848324e-06
24,0.114,3.97917332286e-06,7.62835011753e-06,5.09102804046e-06
25,0.1187,3.99626103678e-06,7.66110841772e-06,5.17397870422e-06
26,0.1235,4.0087691442e-06,7.68508729586e-06,5.16720327759e-06
27,0.1283,4.01312567937e-06,7.69343904903e-06,5.15197655669e-06
28,0.133,4.01387018846e-06,7.69486630001e-06,5.22840183863e-06
29,0.1377,4.01271455172e-06,7.69265084124e-06,5.21809142314e-06
30,0.1425,4.01063584904e-06,7.68866580233e-06,5.21284285275e-06
31,0.1472,4.00804188467e-06,7.68369297179e-06,5.21292307935e-06
32,0.152,4.00540280645e-06,7.67863365592e-06,5.21955192907e-06
33,0.1568,4.00645942398e-06,7.68065924278e-06,5.23469685629e-06
34,0.1615,4.00848771551e-06,7.68454759603e-06,5.25799006105e-06
35,0.1663,4.00861894497e-06,7.68479915057e-06,5.28029916616e-06
36,0.171,4.00840101018e-06,7.68438133434e-06,5.30930570916e-06
37,0.1757,4.00710145565e-06,7.68188997876e-06,5.34035430221e-06
38,0.1805,4.00480646539e-06,7.67749030473e-06,5.37358404684e-06
39,0.1852,4.00272341236e-06,7.67349692951e-06,5.30242823122e-06
40,0.19,3.99984932064e-06,7.667987079e-06,5.34202233198e-06
41,0.1948,3.99867196634e-06,7.66572999073e-06,5.38699914029e-06
42,0.1995,3.99768137316e-06,7.66383093623e-06,5.43594307269e-06
43,0.2042,3.9965027032e-06,7.66157132669e-06,5.49080527753e-06
44,0.209,3.99400616486e-06,7.65678527192e-06,5.54377783799e-06
45,0.2137,3.99145245362e-06,7.65188961398e-06,5.60755592196e-06
46,0.2185,3.98858028403e-06,7.64638344984e-06,5.67502048915e-06
47,0.2233,3.98526953696e-06,7.64003650223e-06,5.62532033124e-06
48,0.228,3.9811241867e-06,7.63208956354e-06,5.69571231909e-06
49,0.2327,3.97776671809e-06,7.62565304815e-06,5.77033942034e-06
50,0.2375,3.9758051041e-06,7.62189248256e-06,5.84749413826e-06
51,0.2422,3.97236662788e-06,7.6153006699e-06,5.80325962222e-06
52,0.247,3.97038932798e-06,7.61151003364e-06,5.88614038593e-06
53,0.2517,3.9652767051e-06,7.60170876721e-06,5.96882585611e-06
54,0.2565,3.96206178674e-06,7.59554553155e-06,6.05576757816e-06
55,0.2612,3.95675647216e-06,7.58537486253e-06,6.01450318176e-06
56,0.266,3.95293897663e-06,7.57805644546e-06,6.10442372326e-06
57,0.2707,3.94803653131e-06,7.56865810532e-06,6.19625510241e-06
58,0.2755,3.94277029623e-06,7.55856235444e-06,6.15756578178e-06
59,0.2802,3.93872261939e-06,7.55080266425e-06,6.25457594427e-06
60,0.285,3.93474403353e-06,7.54317542594e-06,6.35394332153e-06
61,0.2898,3.92869985911e-06,7.5315883125e-06,6.45804024215e-06
62,0.2945,3.92343763079e-06,7.5215002441e-06,6.56163711462e-06
63,0.2993,3.91894972797e-06,7.51289661102e-06,6.52742049084e-06
