,e,0.80,0.85,0.90,0.95
0,0.0,0.0,0.0,2.25862250566e-05,1.99722562799e-05
1,0.0047,0.0,0.0,1.04029429577e-05,9.83970607978e-06
2,0.0095,0.0,0.0,9.57088653235e-06,9.5983522733e-06
3,0.0142,0.0,0.0,8.85174535179e-06,9.31294988262e-06
4,0.019,0.0,0.0,8.38095175856e-06,9.00213521483e-06
5,0.0238,0.0,0.0,8.10974153734e-06,8.68453604996e-06
6,0.0285,0.0,4.70888875693e-07,7.88281648804e-06,8.37967562029e-06
7,0.0333,0.0,8.96789230404e-07,7.68213403067e-06,8.10902802599e-06
8,0.038,0.0,9.11867091526e-07,7.51644633119e-06,7.89658530779e-06
9,0.0427,0.0,8.48633397447e-07,7.40781146463e-06,7.77007114271e-06
10,0.0475,0.0,7.59121375278e-07,7.38776461049e-06,7.76270180589e-06
11,0.0522,0.0,6.94563298143e-07,7.49969614241e-06,7.91561525295e-06
12,0.057,0.0,6.58461031197e-07,7.65926670257e-06,8.05635475491e-06
13,0.0617,0.0,6.13012050153e-07,7.73358760495e-06,8.12637774489e-06
14,0.0665,0.0,5.98200469335e-07,7.78406258017e-06,8.18428867582e-06
15,0.0712,0.0,5.8115736159e-07,7.82409063196e-06,8.24506228476e-06
16,0.076,0.0,5.5164902399e-07,7.86310423859e-06,8.27298327571e-06
17,0.0808,0.0,5.3918576261e-07,7.90746784827e-06,8.29015635034e-06
18,0.0855,0.0,5.42238132065e-07,7.92610231592e-06,8.3021742663e-06
19,0.0902,0.0,5.22556672076e-07,7.94161863458e-06,8.31096190207e-06
20,0.095,0.0,5.14802213873e-07,7.95463759934e-06,8.31848756461e-06
21,0.0997,0.0,5.18074024664e-07,7.96566538608e-06,8.32471620405e-06
22,0.1045,0.0,5.11988796141e-07,7.97495923075e-06,8.33527023127e-06
23,0.1092,0.0,5.13959114039e-07,7.98296698683e-06,8.3508042489e-06
24,0.114,0.0,5.0112186524e-07,7.98975801328e-06,8.36291129291e-06
25,0.1187,0.0,5.11420491501e-07,8.01907078742e-06,8.37077076981e-06
26,0.1235,0.0,4.95748435839e-07,8.02797919807e-06,8.37595610059e-06
27,0.1283,0.0,4.8670223424e-07,8.02712965882e-06,8.38146294284e-06
28,0.133,0.0,4.63789981533e-07,8.02527301592e-06,8.38387978125e-06
29,0.1377,0.0,4.76245934207e-07,8.02322638742e-06,8.38642686721e-06
30,0.1425,0.0,4.70930259241e-07,8.02052324184e-06,8.39211263997e-06
31,0.1472,0.0,4.6957529413e-07,8.0175518084e-06,8.40011360532e-06
32,0.152,0.0,4.72143389962e-07,8.01281753286e-06,8.40710297306e-06
33,0.1568,0.0,4.78669685491e-07,8.0192807039e-06,8.41227826283e-06
34,0.1615,0.0,4.89240908196e-07,8.02176167718e-06,8.41721990186e-06
35,0.1663,0.0,4.73498454277e-07,8.02046441495e-06,8.41863391414e-06
