,e,0.80,0.85,0.90,0.95
0,0.0,0.0,0.0,2.25862250563e-05,1.13168875012e-05
1,0.0047,0.0,0.0,1.04029429577e-05,4.96350999991e-06
2,0.0095,0.0,0.0,9.57088653236e-06,4.34009366347e-06
3,0.0142,0.0,0.0,8.85174535178e-06,3.8072534684e-06
4,0.019,0.0,0.0,8.22352663265e-06,3.36591835221e-06
5,0.0238,0.0,0.0,7.6867264215e-06,3.01639657404e-06
6,0.0285,0.0,4.70888875693e-07,7.25337534509e-06,2.81620851892e-06
7,0.0333,0.0,8.96789230403e-07,6.93010030645e-06,2.77179352551e-06
8,0.038,0.0,9.11867091527e-07,6.72189887869e-06,2.76956483649e-06
9,0.0427,0.0,8.48633397447e-07,6.63450704312e-06,2.78480201685e-06
10,0.0475,0.0,7.4941721457e-07,6.67360427646e-06,2.81900123319e-06
11,0.0522,0.0,6.81856000032e-07,6.84583746085e-06,2.8922846631e-06
12,0.057,0.0,6.50496578639e-07,7.03727946177e-06,2.95616252924e-06
13,0.0617,0.0,6.07001310059e-07,7.13606855349e-06,2.99138804541e-06
14,0.0665,0.0,5.93354101681e-07,7.20728992638e-06,3.01996047132e-06
15,0.0712,0.0,5.76754463867e-07,7.26650353507e-06,3.05034829018e-06
16,0.076,0.0,5.47445881723e-07,7.32268894179e-06,3.07321427399e-06
17,0.0808,0.0,5.35124791189e-07,7.37642042092e-06,3.09126766769e-06
18,0.0855,0.0,5.38283142344e-07,7.39999405259e-06,3.10596819024e-06
19,0.0902,0.0,5.1867531503e-07,7.4195627349e-06,3.11732692377e-06
20,0.095,0.0,5.11229847696e-07,7.43597373061e-06,3.12614986598e-06
21,0.0997,0.0,5.15157179802e-07,7.44983089069e-06,3.13339986322e-06
22,0.1045,0.0,5.09307614601e-07,7.46153075187e-06,3.14136209307e-06
23,0.1092,0.0,5.11294656732e-07,7.47147526846e-06,3.15106643458e-06
24,0.114,0.0,4.98469664588e-07,7.47990717333e-06,3.15955847725e-06
25,0.1187,0.0,5.08773175149e-07,7.51748582779e-06,3.1668693584e-06
26,0.1235,0.0,4.93102952335e-07,7.54370780629e-06,3.17364952164e-06
27,0.1283,0.0,4.84051075168e-07,7.55328892609e-06,3.17974688341e-06
28,0.133,0.0,4.61169893201e-07,7.55557308527e-06,3.18433605078e-06
29,0.1377,0.0,4.74377524178e-07,7.55436210698e-06,3.18839283129e-06
30,0.1425,0.0,4.69052162485e-07,7.5509349554e-06,3.19343921256e-06
31,0.1472,0.0,4.67689817322e-07,7.54771509658e-06,3.19990454516e-06
32,0.152,0.0,4.70247236441e-07,7.54257841598e-06,3.20606215705e-06
33,0.1568,0.0,4.76760613803e-07,7.54914504905e-06,3.2112601534e-06
34,0.1615,0.0,4.8732590528e-07,7.55349713762e-06,3.21637503737e-06
35,0.1663,0.0,4.71561013158e-07,7.55509201722e-06,3.21970880167e-06
36,0.171,0.0,4.89266457302e-07,7.55770933267e-06,3.22292797632e-06
37,0.1757,0.0,4.7040646759e-07,7.55484373095e-06,3.22569685929e-06
38,0.1805,0.0,4.32392085912e-07,7.55292112318e-06,3.22725696529e-06
39,0.1852,0.0,4.55606869663e-07,7.54879314764e-06,3.23113317497e-06
40,0.19,0.0,4.54621218984e-07,7.54589361289e-06,3.23333681504e-06
41,0.1948,0.0,4.55765738629e-07,7.54579262859e-06,3.23605775395e-06
42,0.1995,0.0,4.5914861858e-07,7.54461271043e-06,3.23751985454e-06
43,0.2042,0.0,4.64911323533e-07,7.5439617802e-06,3.23923518552e-06
44,0.209,0.0,4.73192775584e-07,7.54343059717e-06,3.23937907243e-06
45,0.2137,0.0,4.45807097857e-07,7.53937752583e-06,3.2400899804e-06
46,0.2185,0.0,4.55064633063e-07,7.53471560861e-06,3.24055274887e-06
47,0.2233,0.0,4.65673426942e-07,7.53083750003e-06,3.24056146688e-06
48,0.228,0.0,4.76881486265e-07,7.52306049915e-06,3.24226543714e-06
49,0.2327,0.0,4.49912422379e-07,7.52024180945e-06,3.2424474443e-06
50,0.2375,0.0,4.65315579414e-07,7.51865095462e-06,3.24271778441e-06
51,0.2422,0.0,4.38040415557e-07,7.51481838644e-06,3.24272881804e-06
52,0.247,0.0,4.57963814757e-07,7.51134211997e-06,3.24113655816e-06
53,0.2517,0.0,4.39980296112e-07,7.50361054054e-06,3.24037961101e-06
54,0.2565,0.0,4.69585358895e-07,7.49709721219e-06,3.24018812169e-06
55,0.2612,0.0,4.55448891691e-07,7.49335396037e-06,3.23911432513e-06
56,0.266,0.0,5.26441530632e-07,7.48569258917e-06,3.23647996566e-06
57,0.2707,0.0,5.12962197465e-07,7.47816796098e-06,3.23763480015e-06
