,e,0.80,0.85,0.90,0.95
0,0.0,0.0,0.0,2.25862250566e-05,1.99722562799e-05
1,0.0047,0.0,0.0,1.03901978486e-05,9.82246278081e-06
2,0.0095,0.0,0.0,9.57537014725e-06,9.58705604233e-06
3,0.0142,0.0,0.0,8.87836551499e-06,9.31167356705e-06
4,0.019,0.0,0.0,8.42727964624e-06,9.01541964258e-06
5,0.0238,0.0,0.0,8.17264390339e-06,8.71692775048e-06
6,0.0285,0.0,4.35304808981e-07,7.96433237749e-06,8.43514418859e-06
7,0.0333,0.0,8.31817922971e-07,7.7846584187e-06,8.19016714211e-06
8,0.038,0.0,8.43018280587e-07,7.6413673192e-06,8.00350554445e-06
9,0.0427,0.0,7.86247177004e-07,7.55320469624e-06,7.8987635121e-06
10,0.0475,0.0,7.0198062753e-07,7.54647952776e-06,7.90251800843e-06
11,0.0522,0.0,6.39182253303e-07,7.65532122126e-06,8.04526290935e-06
12,0.057,0.0,5.98461800461e-07,7.80107002775e-06,8.17307840098e-06
13,0.0617,0.0,5.72896103975e-07,7.87004326023e-06,8.23738024156e-06
14,0.0665,0.0,5.49877251886e-07,7.91697327033e-06,8.2900257255e-06
15,0.0712,0.0,5.21942441824e-07,7.95430415075e-06,8.34542707987e-06
16,0.076,0.0,5.10946458388e-07,7.99025423668e-06,8.37139903849e-06
17,0.0808,0.0,5.00205326128e-07,8.03012657351e-06,8.38724483951e-06
18,0.0855,0.0,4.86863307481e-07,8.04717503415e-06,8.39823189048e-06
19,0.0902,0.0,4.84840471949e-07,8.06121010724e-06,8.40623157521e-06
20,0.095,0.0,4.76552413421e-07,8.07288890972e-06,8.41308961724e-06
21,0.0997,0.0,4.77354606138e-07,8.08261693402e-06,8.41791710487e-06
22,0.1045,0.0,4.69354699396e-07,8.09075074967e-06,8.42752734338e-06
23,0.1092,0.0,4.67551873711e-07,8.09757784734e-06,8.44098267054e-06
24,0.114,0.0,4.71527928061e-07,8.10325522796e-06,8.45043482918e-06
25,0.1187,0.0,4.74507137567e-07,8.12863328053e-06,8.45646539971e-06
26,0.1235,0.0,4.54621119018e-07,8.13645406279e-06,8.46189166604e-06
27,0.1283,0.0,4.41052262156e-07,8.13516846672e-06,8.46555513398e-06
28,0.133,0.0,4.35183080054e-07,8.13255047159e-06,8.46770434289e-06
29,0.1377,0.0,4.38608217741e-07,8.12963580928e-06,8.46980218917e-06
30,0.1425,0.0,4.27575930374e-07,8.126244563e-06,8.47309904406e-06
31,0.1472,0.0,4.39708058273e-07,8.12158353306e-06,8.48024841177e-06
32,0.152,0.0,4.33964584167e-07,8.11682752439e-06,8.4854694752e-06
33,0.1568,0.0,4.30589457386e-07,8.11901159285e-06,8.48998845411e-06
34,0.1615,0.0,4.29463912273e-07,8.12110587346e-06,8.49275858701e-06
35,0.1663,0.0,4.30493556945e-07,8.11861327436e-06,8.49538500314e-06
36,0.171,0.0,4.33620871191e-07,8.11540040874e-06,8.49788033147e-06
37,0.1757,0.0,4.30313957299e-07,8.11036997854e-06,8.49787123757e-06
38,0.1805,0.0,4.09541903329e-07,8.103827493e-06,8.49922679796e-06
39,0.1852,0.0,4.1434874769e-07,8.09756858474e-06,8.50412167889e-06
40,0.19,0.0,4.02968144992e-07,8.090434028e-06,8.50879234019e-06
41,0.1948,0.0,4.15462083894e-07,8.08675754472e-06,8.51174219421e-06
42,0.1995,0.0,4.29752634973e-07,8.08344802261e-06,8.51458591247e-06
43,0.2042,0.0,4.217009872e-07,8.07992000136e-06,8.51626003809e-06
44,0.209,0.0,4.14739543883e-07,8.07315830639e-06,8.51918819535e-06
45,0.2137,0.0,4.32097234092e-07,8.06690414206e-06,8.51893080453e-06
46,0.2185,0.0,4.24712723603e-07,8.06028803403e-06,8.52107274322e-06
47,0.2233,0.0,4.16405882024e-07,8.05244988975e-06,8.52353082072e-06
48,0.228,0.0,4.345416264e-07,8.04387812812e-06,8.52654590507e-06
49,0.2327,0.0,4.26541793123e-07,8.0369159168e-06,8.52967386631e-06
50,0.2375,0.0,4.19239023993e-07,8.03246287574e-06,8.53410181409e-06
51,0.2422,0.0,4.11667276224e-07,8.02514343632e-06,8.53612299062e-06
52,0.247,0.0,4.05508972373e-07,8.02084209597e-06,8.53765238818e-06
53,0.2517,0.0,4.31361810426e-07,8.01104503586e-06,8.53854574763e-06
54,0.2565,0.0,4.33280847096e-07,8.00433293114e-06,8.54067961324e-06
55,0.2612,0.0,4.35785734621e-07,7.99402852961e-06,8.54130617753e-06
56,0.266,0.0,4.72154837888e-07,7.98602025013e-06,8.54368621971e-06
57,0.2707,0.0,4.74565606899e-07,7.97695466788e-06,8.54490744326e-06
58,0.2755,0.0,4.78046058668e-07,7.96665163899e-06,8.55070976116e-06
59,0.2802,0.0,4.81796193916e-07,7.95903506146e-06,8.55400278003e-06
60,0.285,0.0,4.85944625711e-07,7.95126837331e-06,8.55390071457e-06
61,0.2898,0.0,4.60334425408e-07,7.9397601603e-06,8.55890812298e-06
62,0.2945,0.0,4.6386012561e-07,7.93009340573e-06,8.55958848657e-06
63,0.2993,0.0,4.69288591441e-07,7.92093866716e-06,8.56098612599e-06
64,0.304,0.0,4.74571724974e-07,7.91013043968e-06,8.56304863661e-06
65,0.3087,0.0,4.80567412313e-07,7.89650003553e-06,8.56489374267e-06
66,0.3135,0.0,4.88094091693e-07,7.88429757241e-06,8.56933933373e-06
67,0.3182,0.0,4.94503755974e-07,7.87178473272e-06,8.57076494927e-06
68,0.323,0.0,4.69735685844e-07,7.85990519891e-06,8.57476451463e-06
69,0.3277,0.0,4.80766645469e-07,7.84665256805e-06,8.57705826575e-06
70,0.3325,0.0,4.92035414528e-07,7.95745242911e-06,8.58051519117e-06
71,0.3372,0.0,5.0470472656e-07,7.94824265283e-06,8.58173733076e-06
72,0.342,0.0,5.17065776021e-07,7.93942136204e-06,8.58403066507e-06
73,0.3468,0.0,4.96049032703e-07,7.9292574308e-06,8.58327401877e-06
74,0.3515,0.0,5.09948120095e-07,7.91911816296e-06,8.58601580463e-06
75,0.3563,0.0,5.24115978763e-07,7.90770397831e-06,8.59002727981e-06
76,0.361,0.0,5.39303540996e-07,7.89888330851e-06,8.59198625243e-06
77,0.3657,0.0,5.18145723295e-07,7.88929938078e-06,8.59426142937e-06
78,0.3705,0.0,5.32936911511e-07,7.87943657898e-06,8.59813255912e-06
79,0.3752,0.0,5.49022397672e-07,7.86829838966e-06,8.6035744216e-06
80,0.38,0.0,5.26813646095e-07,7.85827570958e-06,8.60425024861e-06
81,0.3847,0.0,5.42997688148e-07,7.84738377218e-06,8.60779293029e-06
82,0.3895,0.0,5.62999960695e-07,7.8356684353e-06,8.60993407958e-06
83,0.3942,0.0,5.40091586668e-07,7.8229331781e-06,8.61018053477e-06
84,0.399,0.0,5.57200346793e-07,7.81087363575e-06,8.61332109811e-06
85,0.4037,0.0,5.77911687271e-07,7.79952922238e-06,8.61693249288e-06
86,0.4085,0.0,5.55583217437e-07,7.78915798981e-06,8.61745658558e-06
87,0.4133,0.0,5.76223601454e-07,7.77560037822e-06,8.62297609778e-06
88,0.418,0.0,5.99096883049e-07,7.76615937894e-06,8.62415469727e-06
89,0.4228,0.0,6.22074903057e-07,7.75214131143e-06,8.62690302466e-06
90,0.4275,0.0,6.0388434381e-07,7.73901166897e-06,8.63183279693e-06
91,0.4322,0.0,6.27481617038e-07,7.72683502757e-06,8.63502180517e-06
92,0.437,0.0,6.5264175156e-07,7.71312121128e-06,8.63503085813e-06
93,0.4417,0.0,6.34978317826e-07,7.69904810648e-06,8.6382149447e-06
94,0.4465,0.0,6.59176733724e-07,7.68600027321e-06,8.64242070694e-06
