,e,0.80,0.85,0.90,0.95
0,0.0,0.0,0.0,2.25862250563e-05,1.13168875012e-05
1,0.0047,0.0,0.0,1.03901978486e-05,4.95947575827e-06
2,0.0095,0.0,0.0,9.57537014726e-06,4.34863089784e-06
3,0.0142,0.0,0.0,8.878365515e-06,3.83234881884e-06
4,0.019,0.0,0.0,8.27791670963e-06,3.41015899086e-06
5,0.0238,0.0,0.0,7.7721142446e-06,3.08085627843e-06
6,0.0285,0.0,4.35304808982e-07,7.3710694568e-06,2.89563267728e-06
7,0.0333,0.0,8.31817922973e-07,7.07915571029e-06,2.85835199311e-06
8,0.038,0.0,8.43018280587e-07,6.89884977655e-06,2.8614920643e-06
9,0.0427,0.0,7.86247177e-07,6.83210379824e-06,2.88136548394e-06
10,0.0475,0.0,6.93583381617e-07,6.88047718357e-06,2.91858537992e-06
11,0.0522,0.0,6.28171697286e-07,7.04488829395e-06,2.98941962552e-06
12,0.057,0.0,5.91547835145e-07,7.22103285893e-06,3.04953965297e-06
13,0.0617,0.0,5.67689516884e-07,7.31300471717e-06,3.08313260673e-06
14,0.0665,0.0,5.45660381822e-07,7.37996506175e-06,3.11013690852e-06
15,0.0712,0.0,5.18122406205e-07,7.43499136721e-06,3.13878363058e-06
16,0.076,0.0,5.07302199035e-07,7.48665827577e-06,3.16048926939e-06
17,0.0808,0.0,4.96684241355e-07,7.53523628845e-06,3.1777543338e-06
18,0.0855,0.0,4.83436305854e-07,7.55693305711e-06,3.19176885623e-06
19,0.0902,0.0,4.81476869358e-07,7.57482827076e-06,3.20252616116e-06
20,0.095,0.0,4.73480271959e-07,7.58969385358e-06,3.2109103189e-06
21,0.0997,0.0,4.74827716892e-07,7.60211333458e-06,3.21773757337e-06
22,0.1045,0.0,4.67031200229e-07,7.61248138526e-06,3.22515740974e-06
23,0.1092,0.0,4.65242755366e-07,7.62114598324e-06,3.23388613193e-06
24,0.114,0.0,4.69228374527e-07,7.62835011753e-06,3.24126534e-06
25,0.1187,0.0,4.72213097181e-07,7.66110841772e-06,3.24768836655e-06
26,0.1235,0.0,4.52330548248e-07,7.68508729586e-06,3.25372796281e-06
27,0.1283,0.0,4.38760909746e-07,7.69343904903e-06,3.25885454067e-06
28,0.133,0.0,4.32921835944e-07,7.69486630001e-06,3.26289070826e-06
29,0.1377,0.0,4.36988536206e-07,7.69265084124e-06,3.26631627585e-06
30,0.1425,0.0,4.25949340978e-07,7.68866580233e-06,3.27009652919e-06
31,0.1472,0.0,4.38073098887e-07,7.68369297179e-06,3.27571737078e-06
32,0.152,0.0,4.32320900889e-07,7.67863365592e-06,3.28054747741e-06
33,0.1568,0.0,4.28935319419e-07,7.68065924278e-06,3.284982983e-06
34,0.1615,0.0,4.27799337799e-07,7.68454759603e-06,3.28862341573e-06
35,0.1663,0.0,4.2881893239e-07,7.68479915057e-06,3.29193756529e-06
36,0.171,0.0,4.31928429071e-07,7.68438133434e-06,3.29441783194e-06
37,0.1757,0.0,4.29142947361e-07,7.68188997876e-06,3.29535887377e-06
38,0.1805,0.0,4.08349652966e-07,7.67749030473e-06,3.29674530502e-06
39,0.1852,0.0,4.13138349847e-07,7.67349692951e-06,3.29942756189e-06
40,0.19,0.0,4.01740301117e-07,7.667987079e-06,3.30118998029e-06
41,0.1948,0.0,4.1421635219e-07,7.66572999073e-06,3.30250156528e-06
42,0.1995,0.0,4.28488574851e-07,7.66383093623e-06,3.30322203304e-06
43,0.2042,0.0,4.20418447661e-07,7.66157132669e-06,3.30368751774e-06
44,0.209,0.0,4.13452184522e-07,7.65678527192e-06,3.30371424964e-06
45,0.2137,0.0,4.31116282374e-07,7.65188961398e-06,3.30325476975e-06
46,0.2185,0.0,4.23807630407e-07,7.64638344984e-06,3.30289179432e-06
47,0.2233,0.0,4.15483613275e-07,7.64003650223e-06,3.30244155009e-06
48,0.228,0.0,4.3360091603e-07,7.63208956354e-06,3.30268855072e-06
49,0.2327,0.0,4.25580543184e-07,7.62565304815e-06,3.30199684594e-06
50,0.2375,0.0,4.18257481622e-07,7.62189248256e-06,3.3019246799e-06
51,0.2422,0.0,4.10666859552e-07,7.6153006699e-06,3.30054518417e-06
52,0.247,0.0,4.04487945926e-07,7.61151003364e-06,3.29859972387e-06
53,0.2517,0.0,4.30452373197e-07,7.60170876721e-06,3.29731885592e-06
54,0.2565,0.0,4.32533905803e-07,7.59554553155e-06,3.29502033714e-06
55,0.2612,0.0,4.35060609384e-07,7.58537486253e-06,3.29282576087e-06
56,0.266,0.0,4.71011000006e-07,7.57805644546e-06,3.29043582246e-06
57,0.2707,0.0,4.73397246625e-07,7.56865810532e-06,3.28802251171e-06
58,0.2755,0.0,4.76853083493e-07,7.55856235444e-06,3.2866108339e-06
59,0.2802,0.0,4.80571183536e-07,7.55080266425e-06,3.28522453518e-06
60,0.285,0.0,4.84716026063e-07,7.54317542594e-06,3.28141349992e-06
61,0.2898,0.0,4.5918236781e-07,7.5315883125e-06,3.27962121308e-06
62,0.2945,0.0,4.62819374052e-07,7.5215002441e-06,3.27643130326e-06
63,0.2993,0.0,4.68303948261e-07,7.51289661102e-06,3.27284500475e-06
64,0.304,0.0,4.73624957067e-07,7.50183985161e-06,3.27055340692e-06
65,0.3087,0.0,4.79587168481e-07,7.48757576076e-06,3.26641993517e-06
66,0.3135,0.0,4.87084233164e-07,7.47442563234e-06,3.2643809204e-06
67,0.3182,0.0,4.93463591804e-07,7.46168547352e-06,3.26017628664e-06
68,0.323,0.0,4.6867208919e-07,7.44918436503e-06,3.25793674563e-06
69,0.3277,0.0,4.7972702817e-07,7.43504268686e-06,3.25376996924e-06
70,0.3325,0.0,4.91050827009e-07,7.51791427406e-06,3.25084955397e-06
71,0.3372,0.0,5.03787172339e-07,7.50810529625e-06,3.24607188324e-06
72,0.342,0.0,5.16165683794e-07,7.49844508169e-06,3.24237302832e-06
73,0.3468,0.0,4.9518604337e-07,7.48772332708e-06,3.23773613774e-06
74,0.3515,0.0,5.0907041836e-07,7.47634072345e-06,3.23330527954e-06
75,0.3563,0.0,5.23202482887e-07,7.46312921056e-06,3.22965822157e-06
76,0.361,0.0,5.3835527328e-07,7.45306223251e-06,3.22475198047e-06
77,0.3657,0.0,5.17175656351e-07,7.44201908362e-06,3.21949349563e-06
78,0.3705,0.0,5.31966584642e-07,7.43108698422e-06,3.21542281145e-06
79,0.3752,0.0,5.48072052247e-07,7.4187641222e-06,3.21204401057e-06
80,0.38,0.0,5.25935461416e-07,7.40675315995e-06,3.20590689148e-06
81,0.3847,0.0,5.4213706539e-07,7.39398665997e-06,3.20158409242e-06
82,0.3895,0.0,5.62154160969e-07,7.38053807886e-06,3.19653019174e-06
83,0.3942,0.0,5.39247396852e-07,7.36562163723e-06,3.18992889031e-06
84,0.399,0.0,5.56314536889e-07,7.35144181e-06,3.1848745789e-06
85,0.4037,0.0,5.76982493512e-07,7.33792804851e-06,3.17968762078e-06
86,0.4085,0.0,5.54637368224e-07,7.32557626655e-06,3.17303410237e-06
87,0.4133,0.0,5.7527723583e-07,7.30888480127e-06,3.16919088414e-06
88,0.418,0.0,5.98119314565e-07,7.29679697164e-06,3.16301922309e-06
89,0.4228,0.0,6.21125414932e-07,7.28031498945e-06,3.15652544962e-06
90,0.4275,0.0,6.02954393343e-07,7.26460009497e-06,3.15110652519e-06
91,0.4322,0.0,6.26524520342e-07,7.24969132236e-06,3.14550173523e-06
92,0.437,0.0,6.51710026176e-07,7.23249496957e-06,3.13775716947e-06
93,0.4417,0.0,6.34036032713e-07,7.21507114316e-06,3.1312108152e-06
94,0.4465,0.0,6.58199082709e-07,7.19822025875e-06,3.12399691837e-06
95,0.4512,0.0,6.8610141789e-07,7.1820711576e-06,3.11799228389e-06
96,0.456,0.0,6.68364476766e-07,7.16763064915e-06,3.10968740722e-06
97,0.4607,0.0,6.96139886501e-07,7.1495007169e-06,3.10406868621e-06
98,0.4655,0.0,7.23598880662e-07,7.1296878465e-06,3.09739678415e-06
99,0.4703,0.0,7.05265827613e-07,7.11443904212e-06,3.09066184291e-06
100,0.475,0.0,7.36429394033e-07,7.09451250122e-06,3.08211039542e-06
101,0.4798,0.0,7.15480914982e-07,7.07516931315e-06,3.07506525382e-06
102,0.4845,0.0,7.47466556014e-07,7.05518480385e-06,3.06799733629e-06
103,0.4892,0.0,7.80717158188e-07,7.03577799353e-06,3.05997483173e-06
104,0.494,0.0,7.61092713923e-07,7.01486105097e-06,3.05106745234e-06
105,0.4987,0.0,7.9433275823e-07,6.99720884162e-06,3.04336062378e-06
106,0.5035,0.0,8.29816408498e-07,6.97510666172e-06,3.03533067135e-06
107,0.5082,0.0,8.10197189577e-07,6.95653149006e-06,3.02812020641e-06
108,0.513,0.0,8.46252228587e-07,6.93566491114e-06,3.02024807732e-06
