,e,1.30,1.80,2.20
0,0.0,1.17839459772e-07,2.25916857364e-07,0.0
1,0.0047,1.082914038e-07,2.07611725946e-07,4.49877096158e-08
2,0.0095,9.97939856473e-08,1.91320833174e-07,1.2311476838e-07
3,0.0142,9.25251657723e-08,1.77385357351e-07,1.29956386221e-07
4,0.019,8.62628479002e-08,1.65379504844e-07,1.26170853326e-07
5,0.0238,8.09867618922e-08,1.55264414596e-07,1.18690933622e-07
6,0.0285,7.68022121714e-08,1.47241971814e-07,1.10964369167e-07
7,0.0333,7.37545444152e-08,1.41399111325e-07,1.04307067183e-07
8,0.038,7.18692268963e-08,1.37784659833e-07,9.93128113944e-08
9,0.0427,7.11661440915e-08,1.36436739016e-07,9.66316461373e-08
10,0.0475,7.1660932429e-08,1.37385326381e-07,9.52038893711e-08
11,0.0522,7.33623287603e-08,1.40647171845e-07,9.654457389e-08
12,0.057,7.51854220653e-08,1.44142329703e-07,9.79887832786e-08
13,0.0617,7.61337129059e-08,1.45960353037e-07,9.90236776349e-08
14,0.0665,7.68222305748e-08,1.47280350166e-07,9.91836742332e-08
15,0.0712,7.73869311385e-08,1.48362970344e-07,9.97027003522e-08
16,0.076,7.79168837227e-08,1.49378973154e-07,9.93470071256e-08
17,0.0808,7.84149023395e-08,1.50333753511e-07,1.0066446106e-07
18,0.0855,7.86340310943e-08,1.50753857946e-07,1.00613486497e-07
19,0.0902,7.88138602829e-08,1.51098618903e-07,1.00789268583e-07
20,0.095,7.89623998315e-08,1.5138339268e-07,1.01184919013e-07
21,0.0997,7.9085702014e-08,1.5161978244e-07,1.01793654956e-07
22,0.1045,7.9187858075e-08,1.51815631743e-07,1.01030950487e-07
23,0.1092,7.92724738139e-08,1.51977853479e-07,1.02002077928e-07
24,0.114,7.93420654153e-08,1.5211127157e-07,1.01514210067e-07
25,0.1187,7.96766466236e-08,1.52752716597e-07,1.03160327524e-07
26,0.1235,7.99199659661e-08,1.53219198208e-07,1.03017371052e-07
27,0.1283,8.00012043951e-08,1.53374945106e-07,1.02706558662e-07
28,0.133,8.0010747227e-08,1.53393240218e-07,1.04223308196e-07
29,0.1377,7.99826075715e-08,1.53339292051e-07,1.04011132679e-07
30,0.1425,7.993626815e-08,1.5325045206e-07,1.03900135531e-07
31,0.1472,7.98798274248e-08,1.53142246271e-07,1.03895575102e-07
32,0.152,7.98226577073e-08,1.53032642894e-07,1.04021744324e-07
33,0.1568,7.98388980028e-08,1.53063778107e-07,1.04317289215e-07
34,0.1615,7.9874597996e-08,1.53132220631e-07,1.04775304822e-07
35,0.1663,7.98725529965e-08,1.5312830004e-07,1.05213739727e-07
36,0.171,7.98637741252e-08,1.53111469557e-07,1.05785870556e-07
37,0.1757,7.98335503055e-08,1.53053525718e-07,1.06398766248e-07
38,0.1805,7.97836003724e-08,1.52957763805e-07,1.07055191792e-07
