,e,0.80,0.85,0.90,0.95
0,0.0,0.0,0.0,2.25916857364e-07,1.13196235894e-07
1,0.0047,0.0,0.0,2.07611725946e-07,9.90977589617e-08
2,0.0095,0.0,0.0,1.91320833174e-07,8.6887887752e-08
3,0.0142,0.0,0.0,1.77385357351e-07,7.65681446477e-08
4,0.019,0.0,0.0,1.65379504844e-07,6.81289222429e-08
5,0.0238,0.0,0.0,1.55264414596e-07,6.15458923311e-08
6,0.0285,0.0,8.69470259622e-09,1.47241971814e-07,5.78413231799e-08
7,0.0333,0.0,1.66134627442e-08,1.41399111325e-07,5.70917335554e-08
8,0.038,0.0,1.68357078607e-08,1.37784659833e-07,5.71488595369e-08
9,0.0427,0.0,1.57004175688e-08,1.36436739016e-07,5.75392765359e-08
10,0.0475,0.0,1.38484302338e-08,1.37385326381e-07,5.82748810544e-08
11,0.0522,0.0,1.25406516511e-08,1.40647171845e-07,5.9679964796e-08
12,0.057,0.0,1.18076409561e-08,1.44142329703e-07,6.08715976576e-08
13,0.0617,0.0,1.13299566856e-08,1.45960353037e-07,6.15348644711e-08
14,0.0665,0.0,1.08890504143e-08,1.47280350166e-07,6.2067001093e-08
15,0.0712,0.0,1.03384212339e-08,1.48362970344e-07,6.26317164634e-08
16,0.076,0.0,1.01215386948e-08,1.49378973154e-07,6.30584713004e-08
17,0.0808,0.0,9.9087801473e-09,1.50333753511e-07,6.33969815562e-08
18,0.0855,0.0,9.64363504018e-09,1.50753857946e-07,6.367091446e-08
19,0.0902,0.0,9.6037320442e-09,1.51098618903e-07,6.38800929543e-08
20,0.095,0.0,9.44344858977e-09,1.5138339268e-07,6.40421551466e-08
21,0.0997,0.0,9.469564258e-09,1.5161978244e-07,6.41733256371e-08
22,0.1045,0.0,9.31335849676e-09,1.51815631743e-07,6.43163941623e-08
23,0.1092,0.0,9.27702459179e-09,1.51977853479e-07,6.44855406895e-08
24,0.114,0.0,9.3558406237e-09,1.5211127157e-07,6.46279430346e-08
25,0.1187,0.0,9.41470445356e-09,1.52752716597e-07,6.47514043819e-08
26,0.1235,0.0,9.01768186972e-09,1.53219198208e-07,6.48673940679e-08
27,0.1283,0.0,8.74656529836e-09,1.53374945106e-07,6.49652817915e-08
28,0.133,0.0,8.62958168437e-09,1.53393240218e-07,6.50415319091e-08
29,0.1377,0.0,8.71006219958e-09,1.53339292051e-07,6.51057365094e-08
30,0.1425,0.0,8.48954466495e-09,1.5325045206e-07,6.51770489372e-08
31,0.1472,0.0,8.73070069142e-09,1.53142246271e-07,6.5285019333e-08
32,0.152,0.0,8.6155939017e-09,1.53032642894e-07,6.53773367653e-08
33,0.1568,0.0,8.54767209201e-09,1.53063778107e-07,6.5461864399e-08
34,0.1615,0.0,8.5245948498e-09,1.53132220631e-07,6.55306253351e-08
35,0.1663,0.0,8.5444812695e-09,1.5312830004e-07,6.55929965137e-08
36,0.171,0.0,8.60601585871e-09,1.53111469557e-07,6.56388305488e-08
37,0.1757,0.0,8.54995987809e-09,1.53053525718e-07,6.56540448908e-08
38,0.1805,0.0,8.13518241873e-09,1.52957763805e-07,6.56781951747e-08
39,0.1852,0.0,8.23012006678e-09,1.52870297442e-07,6.57281492918e-08
40,0.19,0.0,8.00262827979e-09,1.527528215e-07,6.57598052048e-08
41,0.1948,0.0,8.25072864437e-09,1.52699900993e-07,6.57825104386e-08
42,0.1995,0.0,8.53459987328e-09,1.52654155131e-07,6.57936407565e-08
43,0.2042,0.0,8.37345315791e-09,1.52601596091e-07,6.57995963861e-08
44,0.209,0.0,8.23431325852e-09,1.52498600391e-07,6.57970185461e-08
45,0.2137,0.0,8.58567000496e-09,1.52393801261e-07,6.57846563771e-08
46,0.2185,0.0,8.43969504212e-09,1.52277025123e-07,6.57743787291e-08
47,0.2233,0.0,8.27352393883e-09,1.52143479015e-07,6.57623986324e-08
48,0.228,0.0,8.63388983139e-09,1.51978377148e-07,6.57642076935e-08
49,0.2327,0.0,8.47379027496e-09,1.51843238239e-07,6.57474494169e-08
50,0.2375,0.0,8.32760406418e-09,1.51761451643e-07,6.57430430882e-08
51,0.2422,0.0,8.17610217267e-09,1.51623241639e-07,6.57126884986e-08
52,0.247,0.0,8.05272763259e-09,1.51541072924e-07,6.56711417141e-08
