,spinup
0,8.08928781607e-06
1,8.07404362932e-06
2,8.06489272331e-06
3,8.04942296339e-06
4,8.03375189105e-06
5,8.03600786335e-06
6,8.0158079215e-06
7,8.00584463507e-06
8,7.99084729444e-06
9,7.98050095666e-06
10,7.95969080638e-06
11,7.9671784425e-06
12,7.95137665797e-06
13,7.91337703971e-06
14,7.89900984747e-06
15,7.88259631995e-06
16,7.86591114893e-06
17,7.86020758032e-06
18,7.84315278744e-06
19,7.82581609969e-06
20,7.80429462387e-06
21,7.79196381467e-06
22,7.78168990197e-06
23,7.77495101916e-06
24,7.77807682172e-06
25,7.75872090602e-06
26,7.74768478362e-06
27,7.736375915e-06
28,7.72479009174e-06
29,7.7129229527e-06
30,7.68840413681e-06
31,7.6740354556e-06
32,7.67339290257e-06
33,7.65541296031e-06
34,7.6521361254e-06
35,7.64862207542e-06
36,7.64486599962e-06
37,7.64086290784e-06
38,7.65601104716e-06
39,7.64468303301e-06
40,7.66104398793e-06
41,7.66814745994e-06
42,7.67602811086e-06
43,7.68221117562e-06
44,7.70001191028e-06
45,7.73075526245e-06
46,7.76297946554e-06
47,7.795234209e-06
48,7.82612407299e-06
49,7.83849176323e-06
50,7.87092105367e-06
51,7.90499319083e-06
52,7.93115418373e-06
53,7.96393467359e-06
54,7.99673001736e-06
55,8.02953673561e-06
56,8.07696710543e-06
57,8.11005095594e-06
58,8.12654090633e-06
59,8.159595252e-06
60,8.1926402911e-06
61,8.23028385283e-06
62,8.26348919085e-06
63,8.31449020288e-06
64,8.34791001508e-06
65,8.36596011359e-06
66,8.37914957842e-06
67,8.41252448527e-06
68,8.44583451204e-06
69,8.45593424905e-06
70,8.4965035471e-06
71,8.55111252803e-06
72,8.58439684513e-06
73,8.61755272472e-06
74,8.65056297731e-06
75,8.68340851712e-06
76,8.7160680901e-06
77,8.74713485342e-06
78,8.80441270496e-06
79,8.83678798805e-06
80,8.87999888385e-06
81,8.88591194701e-06
82,8.91756351121e-06
83,8.94878428065e-06
84,8.97951678495e-06
85,9.00753708696e-06
86,9.0337898847e-06
87,9.05929182381e-06
88,9.08393846726e-06
89,9.12349544109e-06
90,9.1463785588e-06
91,9.1679554428e-06
92,9.18801072286e-06
93,9.20628063322e-06
94,9.222438595e-06
95,9.23607531711e-06
96,9.24667081783e-06
97,9.26355617207e-06
98,9.26610013946e-06
99,9.20875282132e-06
