,spinup
0,2.25862250566e-05
1,1.03901978486e-05
2,9.57537014725e-06
3,8.87836551499e-06
4,8.42727964624e-06
5,8.17264390339e-06
6,7.96433237749e-06
7,7.7846584187e-06
8,7.6413673192e-06
9,7.55320469624e-06
10,7.54647952776e-06
11,7.65532122126e-06
12,7.80107002775e-06
13,7.87004326023e-06
14,7.91697327033e-06
15,7.95430415075e-06
16,7.99025423668e-06
17,8.03012657351e-06
18,8.04717503415e-06
19,8.06121010724e-06
20,8.07288890972e-06
21,8.08261693402e-06
22,8.09075074967e-06
23,8.09757784734e-06
24,8.10325522796e-06
25,8.12863328053e-06
26,8.13645406279e-06
27,8.13516846672e-06
28,8.13255047159e-06
29,8.12963580928e-06
30,8.126244563e-06
31,8.12158353306e-06
32,8.11682752439e-06
33,8.11901159285e-06
34,8.12110587346e-06
35,8.11861327436e-06
36,8.11540040874e-06
37,8.11036997854e-06
38,8.103827493e-06
39,8.09756858474e-06
40,8.090434028e-06
41,8.08675754472e-06
42,8.08344802261e-06
43,8.07992000136e-06
44,8.07315830639e-06
45,8.06690414206e-06
46,8.06028803403e-06
47,8.05244988975e-06
48,8.04387812812e-06
49,8.0369159168e-06
50,8.03246287574e-06
51,8.02514343632e-06
52,8.02084209597e-06
53,8.01104503586e-06
54,8.00433293114e-06
55,7.99402852961e-06
56,7.98602025013e-06
57,7.97695466788e-06
58,7.96665163899e-06
59,7.95903506146e-06
60,7.95126837331e-06
61,7.9397601603e-06
62,7.93009340573e-06
63,7.92093866716e-06
64,7.91013043968e-06
65,7.89650003553e-06
66,7.88429757241e-06
67,7.87178473272e-06
68,7.85990519891e-06
69,7.84665256805e-06
70,7.95745242911e-06
71,7.94824265283e-06
72,7.93942136204e-06
73,7.9292574308e-06
74,7.91911816296e-06
75,7.90770397831e-06
76,7.89888330851e-06
77,7.88929938078e-06
78,7.87943657898e-06
79,7.86829838966e-06
80,7.85827570958e-06
81,7.84738377218e-06
82,7.8356684353e-06
83,7.8229331781e-06
84,7.81087363575e-06
85,7.79952922238e-06
86,7.78915798981e-06
87,7.77560037822e-06
88,7.76615937894e-06
89,7.75214131143e-06
90,7.73901166897e-06
91,7.72683502757e-06
92,7.71312121128e-06
93,7.69904810648e-06
94,7.68600027321e-06
95,7.67343306528e-06
96,7.66192788384e-06
97,7.64751161091e-06
98,7.6326859898e-06
99,7.62133171221e-06
100,7.60615558967e-06
101,7.5923434003e-06
102,7.57672198022e-06
103,7.56228321235e-06
104,7.546811142e-06
105,7.5347243966e-06
106,7.51816975768e-06
107,7.50586454841e-06
108,7.49171993004e-06
109,7.47645516615e-06
110,7.46263675205e-06
111,7.44609974022e-06
112,7.43136205391e-06
113,7.41658888932e-06
114,7.40051980797e-06
115,7.38838953174e-06
116,7.37120675032e-06
117,7.3576536129e-06
118,7.34348948378e-06
119,7.32928632018e-06
120,7.31474494884e-06
121,7.29795827355e-06
122,7.28465625052e-06
123,7.27079313458e-06
124,7.25564722212e-06
125,7.24268784991e-06
126,7.22905919612e-06
127,7.21373413286e-06
128,7.20143595031e-06
129,7.19354337869e-06
130,7.17569473037e-06
131,7.16711066117e-06
132,7.15575034478e-06
133,7.14669874239e-06
134,7.13671471962e-06
135,7.12517009666e-06
136,7.11864955269e-06
137,7.1105282384e-06
138,7.10358855757e-06
139,7.10029840255e-06
140,7.09774700274e-06
141,7.09390677645e-06
142,7.094889093e-06
143,7.09539399254e-06
144,7.10057164041e-06
145,7.1094217603e-06
146,7.11986842358e-06
147,7.14011429219e-06
148,7.16640869452e-06
149,7.19486017233e-06
150,7.2266039791e-06
151,7.25923942035e-06
152,7.28422109525e-06
153,7.31536364266e-06
154,7.34992370992e-06
155,7.37426748098e-06
156,7.40438027875e-06
157,7.43455868679e-06
158,7.46311357493e-06
159,7.49394355222e-06
160,7.5245576583e-06
161,7.55172897733e-06
162,7.58387787685e-06
163,7.61069612923e-06
164,7.64375340227e-06
165,7.67268155723e-06
166,7.69986902981e-06
167,7.73032478875e-06
168,7.76147968532e-06
169,7.79018393492e-06
170,7.81892806052e-06
171,7.84877447743e-06
172,7.87586832617e-06
173,7.90523460084e-06
174,7.93697332738e-06
175,7.96024623704e-06
176,7.99093659589e-06
177,8.01961514334e-06
178,8.04578012861e-06
179,8.07318438936e-06
180,8.10030850508e-06
181,8.13149004949e-06
182,8.15335842446e-06
183,8.18062645411e-06
184,8.20552388976e-06
185,8.2309811085e-06
186,8.26043417644e-06
187,8.27632069422e-06
188,8.3015932186e-06
189,8.32308475926e-06
190,8.34804940481e-06
191,8.37113074026e-06
192,8.37950733142e-06
193,8.39991272134e-06
194,8.41749967614e-06
195,8.4295820922e-06
196,8.43700931155e-06
197,8.44441863141e-06
198,8.44598472035e-06
199,8.43854756425e-06
