,vfr,1.30,1.80,2.20
0,0.8,2.09197951429e-10,0.0,0.0
1,0.801,2.60237555479e-10,0.0,0.0
2,0.802,2.40310244172e-10,0.0,0.0
3,0.803,2.96983435025e-10,0.0,0.0
4,0.804,3.62551914981e-10,3.07951926542e-14,0.0
5,0.805,4.3740140624e-10,6.40801826057e-13,0.0
6,0.806,4.77516262285e-10,2.75913001283e-12,0.0
7,0.807,5.66955835669e-10,7.30944618148e-12,0.0
8,0.808,6.64533185312e-10,1.52096733039e-11,0.0
9,0.809,7.74705534002e-10,2.73593572137e-11,0.0
10,0.8101,8.96080548345e-10,4.46544213237e-11,0.0
11,0.8111,1.02895179933e-09,6.79700010276e-11,0.0
12,0.8121,1.17381699827e-09,9.81794259385e-11,0.0
13,0.8131,1.33091737237e-09,1.36125523408e-10,2.75573023283e-13
14,0.8141,1.50092571309e-09,1.82681272612e-10,1.94926386651e-12
15,0.8151,1.6790923657e-09,2.38643082434e-10,6.26440797222e-12
16,0.8161,1.87469042121e-09,3.047720211e-10,1.44462906476e-11
17,0.8171,2.0835156822e-09,3.81822809157e-10,2.76994806361e-11
18,0.8181,2.30573941375e-09,4.70519348485e-10,4.72047996056e-11
19,0.8191,2.53839329514e-09,5.70855614029e-10,7.40258744818e-11
20,0.8201,2.36093681137e-09,4.80514985918e-10,6.1089397578e-11
21,0.8211,2.61208403244e-09,5.84604927791e-10,9.31216213081e-11
22,0.8221,2.87218226472e-09,7.02463292464e-10,1.11897703264e-10
23,0.8231,3.1481492956e-09,8.34965945828e-10,1.58357777125e-10
24,0.8241,3.43955678275e-09,9.82696357479e-10,2.16022811775e-10
25,0.8251,3.74701451073e-09,1.14648639162e-09,2.86064978648e-10
26,0.8261,4.07077438007e-09,1.32706793267e-09,3.69626332125e-10
27,0.8271,4.41968654033e-09,1.52496810461e-09,4.67773953629e-10
28,0.8281,4.77707215651e-09,1.7412331334e-09,5.81715718286e-10
29,0.8291,5.15080837776e-09,1.9761477141e-09,7.12410845337e-10
30,0.8302,5.55143566083e-09,2.08772451215e-09,8.60871574691e-10
31,0.8312,5.9597419917e-09,2.3504299994e-09,1.0283302369e-09
32,0.8322,6.39538026852e-09,2.63280368668e-09,1.11172347533e-09
33,0.8332,6.83795795375e-09,2.9362835301e-09,1.30792530389e-09
34,0.8342,7.30875020646e-09,3.26038450968e-09,1.52498822379e-09
35,0.8352,7.78565708976e-09,3.60669826632e-09,1.76432382667e-09
36,0.8362,8.29153854576e-09,3.97445494727e-09,2.02621740376e-09
37,0.8372,8.81263670063e-09,4.36341697764e-09,2.31111972048e-09
38,0.8382,9.34947688608e-09,4.77417381155e-09,2.61987119506e-09
39,0.8392,9.30428981004e-09,4.44704430747e-09,2.52956184576e-09
40,0.8402,9.87517296542e-09,4.87204279463e-09,2.67557394228e-09
41,0.8412,1.04652850223e-08,5.32166785575e-09,3.02063046499e-09
42,0.8422,1.10745761748e-08,5.79637115151e-09,3.39303319823e-09
43,0.8432,1.17029713603e-08,6.29657684009e-09,3.79361696888e-09
44,0.8442,1.27365601296e-08,6.8218555013e-09,4.2226760704e-09
45,0.8452,1.34319120586e-08,7.37264598336e-09,4.68108980975e-09
46,0.8462,1.41285630541e-08,7.950768044e-09,5.17053935593e-09
47,0.8472,1.48609468711e-08,8.55425871356e-09,5.69085410278e-09
48,0.8482,1.56129764283e-08,9.18526313017e-09,5.92403197666e-09
49,0.8492,1.63856560164e-08,9.84373863328e-09,6.48882385951e-09
50,0.8503,1.76468072772e-08,1.05287448494e-08,7.08691509377e-09
51,0.8513,1.84683825055e-08,1.12429296505e-08,7.71958741739e-09
52,0.8523,1.92818205457e-08,1.19828023489e-08,8.38286522905e-09
53,0.8533,2.00824780451e-08,1.27498376289e-08,9.08180998704e-09
54,0.8543,2.09004691261e-08,1.3546289102e-08,9.8167105687e-09
55,0.8553,2.22728356158e-08,1.43690404625e-08,1.05856900439e-08
56,0.8563,2.31258678368e-08,1.52177524339e-08,1.13887874547e-08
57,0.8573,2.39920897851e-08,1.60938986223e-08,1.17255814599e-08
58,0.8583,2.54500617113e-08,1.69934021581e-08,1.2573434883e-08
59,0.8593,2.63458824743e-08,1.79195951892e-08,1.34564061944e-08
60,0.8603,2.78578943309e-08,1.88657541826e-08,1.43696647411e-08
61,0.8613,2.93950509906e-08,1.98284232459e-08,1.53106150575e-08
62,0.8623,2.93576150227e-08,1.97483554187e-08,1.51862708568e-08
63,0.8633,3.09846656515e-08,2.07797618078e-08,1.62003168829e-08
64,0.8643,3.26509836701e-08,2.18350162121e-08,1.72445752015e-08
65,0.8653,3.43542799875e-08,2.29174545429e-08,1.83263788453e-08
66,0.8663,3.60923578007e-08,2.40318721374e-08,1.94555098818e-08
67,0.8673,3.78635803143e-08,2.59037957667e-08,2.06234794999e-08
68,0.8683,3.96656395774e-08,2.70858715151e-08,2.18183415077e-08
69,0.8693,4.14961940961e-08,2.82997690321e-08,2.30624520005e-08
70,0.8704,4.41272191213e-08,2.95391690557e-08,2.43447226119e-08
71,0.8714,4.60211117833e-08,3.08034179458e-08,2.5664812105e-08
72,0.8724,4.87424765143e-08,3.29353727889e-08,2.70223177282e-08
73,0.8734,5.15114236487e-08,3.4275921736e-08,2.84335960118e-08
74,0.8744,5.51674825786e-08,3.65263249352e-08,2.98655090451e-08
75,0.8754,5.88917335014e-08,3.79318909958e-08,3.22940934614e-08
76,0.8764,6.26696320306e-08,3.93594776185e-08,3.38460363574e-08
77,0.8774,6.73884953951e-08,4.17739216345e-08,3.54350385184e-08
78,0.8784,7.39976312987e-08,4.32747169911e-08,3.70850238235e-08
79,0.8794,8.44249630857e-08,4.58113995873e-08,3.8774283899e-08
80,0.8804,9.48686392438e-08,4.84155829393e-08,4.15960420648e-08
81,0.8814,9.39439183453e-08,5.00278958139e-08,4.34191010142e-08
82,0.8824,9.30292958501e-08,5.27720568867e-08,4.53187458466e-08
83,0.8834,9.21243222065e-08,5.55822350792e-08,4.84552683378e-08
84,0.8844,9.12350862449e-08,5.84804990234e-08,5.05137240385e-08
85,0.8854,9.03663079635e-08,6.14703388849e-08,5.2669694783e-08
86,0.8864,8.95332710324e-08,6.45878638984e-08,5.62699058837e-08
87,0.8874,8.87607934503e-08,6.91164058552e-08,5.82178810341e-08
88,0.8884,8.80689062164e-08,7.26417883785e-08,6.0037590758e-08
89,0.8894,8.76271668593e-08,7.56324703572e-08,6.32171423359e-08
90,0.8905,8.63581942773e-08,7.80952754257e-08,6.45734109678e-08
91,0.8915,8.54224722735e-08,8.25225952406e-08,6.65763955098e-08
92,0.8925,8.44867502699e-08,8.70076817084e-08,7.00981170546e-08
93,0.8935,8.35510282659e-08,9.29641014788e-08,7.36903771469e-08
94,0.8945,8.26153062622e-08,9.90020623679e-08,7.73481361659e-08
95,0.8955,8.16795842586e-08,1.06581240938e-07,8.10660099593e-08
96,0.8965,8.07438622547e-08,1.15744843175e-07,8.48382777872e-08
97,0.8975,7.9808140251e-08,1.32681277306e-07,8.86588917581e-08
98,0.8985,7.8872418247e-08,1.51210883764e-07,9.42620454188e-08
99,0.8995,7.79366962433e-08,1.49416956884e-07,9.8189564381e-08
100,0.9005,7.70009742804e-08,1.47623030082e-07,1.03956473834e-07
101,0.9015,7.60652537331e-08,1.45829105994e-07,1.09806452335e-07
102,0.9025,7.51295428801e-08,1.44035200492e-07,1.1762413721e-07
103,0.9035,7.4193857487e-08,1.422413438e-07,1.2556384275e-07
104,0.9045,7.325821936e-08,1.40447577725e-07,1.33590971037e-07
105,0.9055,7.23226565707e-08,1.38653956084e-07,1.45714732813e-07
106,0.9065,7.13872141477e-08,1.36860565205e-07,1.60025900222e-07
107,0.9075,7.04519336306e-08,1.35067484724e-07,1.91201706347e-07
108,0.9085,6.95168610026e-08,1.33274802799e-07,1.99089349276e-07
109,0.9095,6.85820497075e-08,1.3148262189e-07,1.96412143055e-07
110,0.9106,6.76475959891e-08,1.29691126515e-07,1.93735960904e-07
111,0.9116,6.67135353226e-08,1.27900384681e-07,1.91060904412e-07
112,0.9126,6.57799250009e-08,1.26110506229e-07,1.88387137661e-07
113,0.9136,6.48468470987e-08,1.2432164851e-07,1.85714895708e-07
114,0.9146,6.39143825531e-08,1.22533966691e-07,1.83044410345e-07
115,0.9156,6.29825448045e-08,1.20747486542e-07,1.80375720069e-07
116,0.9166,6.2051389862e-08,1.18962315439e-07,1.77708985279e-07
117,0.9176,6.11210736184e-08,1.17178752256e-07,1.75044652441e-07
118,0.9186,6.01915675044e-08,1.15396742218e-07,1.72382639732e-07
119,0.9196,5.92628945969e-08,1.13616329569e-07,1.69723013243e-07
120,0.9206,5.83352081701e-08,1.1183780816e-07,1.67066211936e-07
121,0.9216,5.74085722955e-08,1.10061300825e-07,1.64412419308e-07
122,0.9226,5.64829771245e-08,1.08286788683e-07,1.6176160715e-07
123,0.9236,5.55585055679e-08,1.06514430687e-07,1.59114012911e-07
124,0.9246,5.46353932467e-08,1.0474467856e-07,1.56470311386e-07
125,0.9256,5.37135791915e-08,1.02977415415e-07,1.53830327965e-07
126,0.9266,5.2793140488e-08,1.01212789036e-07,1.51194283417e-07
127,0.9276,5.18743661564e-08,9.9451353521e-08,1.48563005462e-07
128,0.9286,5.08250755199e-08,9.74396976344e-08,1.45557941842e-07
129,0.9296,5.01144339856e-08,9.60772855666e-08,1.43522735438e-07
130,0.9307,4.93226212965e-08,9.45592555734e-08,1.41255062951e-07
131,0.9317,4.84973794574e-08,9.29771366213e-08,1.38891652718e-07
132,0.9327,4.76541080423e-08,9.13604521223e-08,1.36476607577e-07
133,0.9337,4.67960960784e-08,8.97155076628e-08,1.34019346977e-07
134,0.9347,4.59196677109e-08,8.80352560486e-08,1.31509343635e-07
135,0.9357,4.50480573988e-08,8.63642414087e-08,1.29013138723e-07
136,0.9367,4.41629417864e-08,8.46673349758e-08,1.2647825598e-07
137,0.9377,4.32834053639e-08,8.29811247296e-08,1.23959351479e-07
138,0.9387,4.23948796955e-08,8.12776806798e-08,1.21414702677e-07
139,0.9397,4.15119547828e-08,7.95849741621e-08,1.18886093878e-07
140,0.9407,4.06268077412e-08,7.78880074749e-08,1.16351121126e-07
141,0.9417,3.97470145027e-08,7.62013048717e-08,1.13831481129e-07
142,0.9427,3.88641231086e-08,7.45086626157e-08,1.11302968327e-07
143,0.9437,3.79866639175e-08,7.28264347509e-08,1.08790012809e-07
144,0.9447,3.71124611913e-08,7.11504500447e-08,1.06286383484e-07
145,0.9457,3.62402250382e-08,6.94782355682e-08,1.03788386228e-07
146,0.9467,3.53729350961e-08,6.78155037607e-08,1.01304554425e-07
147,0.9477,3.45087014521e-08,6.61586313573e-08,9.88294755518e-08
148,0.9487,3.36494468868e-08,6.45113046365e-08,9.63686562676e-08
