,vfr,0.00,0.05,0.10,0.30,0.60
0,0.8,0.0,0.0,0.0,0.0,1.08137279846e-11
1,0.801,0.0,0.0,0.0,0.0,1.06969904879e-11
2,0.802,0.0,0.0,0.0,0.0,1.94482948247e-10
3,0.803,0.0,0.0,0.0,0.0,1.92421041828e-10
4,0.804,0.0,0.0,3.07951926542e-14,0.0,1.90384405737e-10
5,0.805,0.0,0.0,6.40801826057e-13,0.0,1.88555241987e-10
6,0.806,0.0,0.0,2.75913001283e-12,0.0,1.8672086565e-10
7,0.807,0.0,0.0,7.30944618148e-12,6.11195338769e-14,1.84904014371e-10
8,0.808,0.0,0.0,1.52096733039e-11,2.57941188556e-12,7.27595799551e-10
9,0.809,0.0,0.0,2.73593572137e-11,2.54954642185e-12,5.7801117507e-10
10,0.8101,0.0,0.0,4.46544213237e-11,1.09774196108e-11,5.69915428998e-10
11,0.8111,0.0,0.0,6.79700010276e-11,1.08531098625e-11,5.71734944916e-10
12,0.8121,0.0,0.0,9.81794259385e-11,2.84696959998e-11,5.66770309401e-10
13,0.8131,0.0,3.45109818116e-10,1.36125523408e-10,5.87202876643e-11,1.51640840037e-09
14,0.8141,0.0,6.688883418e-10,1.82681272612e-10,5.80539253499e-11,1.50190936101e-09
15,0.8151,0.0,7.09195112648e-10,2.38643082434e-10,1.03735757385e-10,1.489042768e-09
16,0.8161,0.0,9.11585509778e-10,3.047720211e-10,1.68323725863e-10,1.47617617499e-09
17,0.8171,0.0,1.08627473058e-09,3.81822809157e-10,1.66462308758e-10,1.50511315676e-09
18,0.8181,0.0,1.28744754617e-09,4.70519348485e-10,1.7624383474e-10,2.93118246294e-09
19,0.8191,0.0,1.49084204142e-09,5.70855614029e-10,1.95390405211e-10,2.90285754381e-09
20,0.8201,0.0,1.72286083095e-09,4.80514985918e-10,3.25342814769e-10,3.04038827528e-09
21,0.8211,0.0,1.95010308939e-09,5.84604927791e-10,3.3570190598e-10,3.01391790262e-09
22,0.8221,0.0,2.16323123104e-09,7.02463292464e-10,4.73761507545e-10,2.63046587888e-09
23,0.8231,0.0,2.44449721171e-09,8.34965945828e-10,6.52974343895e-10,4.6434069628e-09
